TMAX,TMIN,PRCP,DATE,STATION
  261,  155,    0,1968-05-15,ZI000067977
  289,  124,    0,1968-05-16,ZI000067977
  314,  123,    0,1968-05-17,ZI000067977
  317,  129,   51,1968-05-18,ZI000067977
  191,  151,   33,1968-05-19,ZI000067977
  233,  103,    0,1968-05-20,ZI000067977
  240,  122,    0,1968-05-21,ZI000067977
  255,   94,    0,1968-05-22,ZI000067977
  268,  106,    0,1968-05-23,ZI000067977
  244,  107,    0,1968-05-24,ZI000067977
  233,  122,    0,1968-05-25,ZI000067977
  229,  130,    0,1968-05-26,ZI000067977
  226,  108,    0,1968-05-27,ZI000067977
  249,  100,    0,1968-05-28,ZI000067977
  233,   94,    0,1968-05-29,ZI000067977
  234,   98,    0,1968-05-30,ZI000067977
  276,   61,    0,1968-05-31,ZI000067977
  302,   72,    0,1968-06-01,ZI000067977
  273,  100,   36,1968-06-02,ZI000067977
  116,   82,   41,1968-06-03,ZI000067977
  185,   83,    0,1968-06-04,ZI000067977
  206,   58,    0,1968-06-05,ZI000067977
  238,   43,    0,1968-06-06,ZI000067977
  249,   44,    0,1968-06-07,ZI000067977
  272,   63,    0,1968-06-08,ZI000067977
  273,   82,    0,1968-06-09,ZI000067977
  247,  111,    0,1968-06-10,ZI000067977
  306,   83,    0,1968-06-11,ZI000067977
  244,  134,    0,1968-06-12,ZI000067977
  199,   79,    0,1968-06-13,ZI000067977
  204,   67,    0,1968-06-14,ZI000067977
  228,   18,    0,1968-06-15,ZI000067977
  236,   11,    0,1968-06-16,ZI000067977
  266,   31,    0,1968-06-17,ZI000067977
  267,   12,    0,1968-06-18,ZI000067977
  211,   53,    0,1968-06-19,ZI000067977
  232,   72,    0,1968-06-20,ZI000067977
  241,   71,    0,1968-06-21,ZI000067977
  231,   72,    0,1968-06-22,ZI000067977
  237,   56,    0,1968-06-23,ZI000067977
  237,   52,    0,1968-06-24,ZI000067977
  249,   44,    0,1968-06-25,ZI000067977
  248,   72,    0,1968-06-26,ZI000067977
  196,  118,    0,1968-06-27,ZI000067977
  187,  128,    0,1968-06-28,ZI000067977
  194,   92,    0,1968-06-29,ZI000067977
  212,  112,    0,1968-06-30,ZI000067977
  239,   83,    0,1968-07-01,ZI000067977
  276,   64,    0,1968-07-02,ZI000067977
  286,   74,    0,1968-07-03,ZI000067977
  293,   84,    0,1968-07-04,ZI000067977
  240,   94,    0,1968-07-05,ZI000067977
  166,  144,    0,1968-07-06,ZI000067977
  189,  128,    0,1968-07-07,ZI000067977
  235,   62,    0,1968-07-08,ZI000067977
  262,   50,    0,1968-07-09,ZI000067977
  282,   56,    0,1968-07-10,ZI000067977
  294,   63,    0,1968-07-11,ZI000067977
  222,   79,    0,1968-07-12,ZI000067977
  212,  127,    0,1968-07-13,ZI000067977
  234,   73,    0,1968-07-14,ZI000067977
  255,   58,    0,1968-07-15,ZI000067977
  271,   64,    0,1968-07-16,ZI000067977
  273,   71,    0,1968-07-17,ZI000067977
  272,   67,    0,1968-07-18,ZI000067977
  272,   78,    0,1968-07-19,ZI000067977
  284,   88,    0,1968-07-20,ZI000067977
  240,   84,    0,1968-07-21,ZI000067977
  236,  140,    0,1968-07-22,ZI000067977
  235,  117,    0,1968-07-23,ZI000067977
  266,   89,    0,1968-07-24,ZI000067977
  283,   74,    0,1968-07-25,ZI000067977
  316,  101,    0,1968-07-26,ZI000067977
  328,  106,    0,1968-07-27,ZI000067977
  335,  111,    0,1968-07-28,ZI000067977
  317,  109,    0,1968-07-29,ZI000067977
  275,  161,    0,1968-07-30,ZI000067977
  256,  121,    0,1968-07-31,ZI000067977
  311,  106,    0,1968-08-01,ZI000067977
  285,  105,    0,1968-08-02,ZI000067977
  289,  106,    0,1968-08-03,ZI000067977
  300,   81,    0,1968-08-04,ZI000067977
  322,   84,    0,1968-08-05,ZI000067977
  262,  161,    0,1968-08-06,ZI000067977
  291,   89,    0,1968-08-07,ZI000067977
  341,   86,    0,1968-08-08,ZI000067977
  339,  106,    0,1968-08-09,ZI000067977
  183,  143,    3,1968-08-10,ZI000067977
  172,  122,    0,1968-08-11,ZI000067977
  272,   96,    0,1968-08-12,ZI000067977
  321,   78,    0,1968-08-13,ZI000067977
  236,  164,    0,1968-08-14,ZI000067977
  288,  118,    0,1968-08-15,ZI000067977
  325,  106,    0,1968-08-16,ZI000067977
  186,  145,    3,1968-08-17,ZI000067977
  211,  135,    0,1968-08-18,ZI000067977
  246,   66,    0,1968-08-19,ZI000067977
  278,   56,    0,1968-08-20,ZI000067977
  324,   78,    0,1968-08-21,ZI000067977
  266,  139,    0,1968-08-22,ZI000067977
  324,  139,    0,1968-08-23,ZI000067977
  326,  149,    0,1968-08-24,ZI000067977
  235,  144,    0,1968-08-25,ZI000067977
  281,  136,    0,1968-08-26,ZI000067977
  293,  116,    0,1968-08-27,ZI000067977
  299,  111,    0,1968-08-28,ZI000067977
  328,  123,    0,1968-08-29,ZI000067977
  316,  144,    0,1968-08-30,ZI000067977
  390,  124,    0,1968-08-31,ZI000067977
  401,  172,    0,1968-09-01,ZI000067977
  311,  162,    0,1968-09-02,ZI000067977
  284,  155,    0,1968-09-03,ZI000067977
  247,  139,    0,1968-09-04,ZI000067977
  234,  154,    0,1968-09-05,ZI000067977
  253,  112,    0,1968-09-06,ZI000067977
  290,   71,    0,1968-09-07,ZI000067977
  333,   89,    0,1968-09-08,ZI000067977
  300,  133,    0,1968-09-09,ZI000067977
  289,  150,    0,1968-09-10,ZI000067977
  314,  112,    0,1968-09-11,ZI000067977
  358,  117,    0,1968-09-12,ZI000067977
  273,  186,    0,1968-09-13,ZI000067977
  319,  158,    0,1968-09-14,ZI000067977
  327,  135,    0,1968-09-15,ZI000067977
  349,  111,    0,1968-09-16,ZI000067977
  344,  141,    0,1968-09-17,ZI000067977
  344,  139,    0,1968-09-18,ZI000067977
  366,  157,    0,1968-09-19,ZI000067977
  268,  189,    0,1968-09-20,ZI000067977
  306,  176,    0,1968-09-21,ZI000067977
  338,  128,    0,1968-09-22,ZI000067977
  326,  166,    0,1968-09-23,ZI000067977
  374,  150,    5,1968-09-24,ZI000067977
  212,  136,    0,1968-09-25,ZI000067977
  266,  106,    0,1968-09-26,ZI000067977
  316,   80,    0,1968-09-27,ZI000067977
  345,  100,    0,1968-09-28,ZI000067977
  277,  156,    0,1968-09-29,ZI000067977
  243,  172,    0,1968-09-30,ZI000067977
  283,  163,    0,1968-10-01,ZI000067977
  366,  123,    0,1968-10-02,ZI000067977
  417,  183,    0,1968-10-03,ZI000067977
  213,  172,    0,1968-10-04,ZI000067977
  260,  177,    0,1968-10-05,ZI000067977
  293,  163,    0,1968-10-06,ZI000067977
  300,  147,    0,1968-10-07,ZI000067977
  323,  116,    0,1968-10-08,ZI000067977
  356,  129,    0,1968-10-09,ZI000067977
  396,  156,    0,1968-10-10,ZI000067977
  387,  194,    0,1968-10-11,ZI000067977
  247,  177,    0,1968-10-12,ZI000067977
  281,   93,    0,1968-10-13,ZI000067977
  341,  109,    0,1968-10-14,ZI000067977
  401,  141,    0,1968-10-15,ZI000067977
  409,  198,    0,1968-10-16,ZI000067977
  418,  202,    0,1968-10-17,ZI000067977
  378,  203,    0,1968-10-18,ZI000067977
  377,  209,    0,1968-10-19,ZI000067977
