TMAX,TMIN,PRCP,SNWD,DATE,STATION
  212,,,,1995-10-25,AGM00060437
  230,  150,,,1995-10-27,AGM00060437
  245,  176,    0,,1995-10-29,AGM00060437
  173,  112,,,1995-11-02,AGM00060437
  125,   62,,,1995-11-06,AGM00060437
  195,  115,,,1995-11-08,AGM00060437
,  132,,,1995-11-09,AGM00060437
  203,  120,,,1995-11-11,AGM00060437
  103,   63,,,1995-11-14,AGM00060437
  210,   75,,,1995-11-16,AGM00060437
   78,   65,  409,,1995-12-04,AGM00060437
  145,   82,   30,,1996-01-06,AGM00060437
  155,   83,,,1996-01-09,AGM00060437
,,,,1996-01-10,AGM00060437
,,   51,,1996-01-12,AGM00060437
   58,   35,  170,,1996-01-13,AGM00060437
,   25,  269,,1996-02-05,AGM00060437
,,   61,,1996-02-08,AGM00060437
,,    0,,1996-02-09,AGM00060437
,,,,1996-02-10,AGM00060437
,   22,  119,,1996-02-12,AGM00060437
,   18,,,1996-02-18,AGM00060437
  134,   60,,,1996-03-19,AGM00060437
,,,,1996-03-20,AGM00060437
,  122,,,1996-04-14,AGM00060437
,   70,,,1996-04-19,AGM00060437
  156,,,,1996-04-23,AGM00060437
,,,,1996-04-24,AGM00060437
   98,,  231,,1996-04-26,AGM00060437
  121,   84,  119,,1996-04-28,AGM00060437
,   82,  140,,1996-04-30,AGM00060437
  175,  115,  119,,1996-05-07,AGM00060437
,   80,  119,,1996-05-10,AGM00060437
,,,,1996-05-19,AGM00060437
  170,   94,,,1996-05-22,AGM00060437
  240,,,,1996-05-26,AGM00060437
,  106,   10,,1996-06-05,AGM00060437
  245,  170,,,1996-06-10,AGM00060437
,  173,,,1996-06-14,AGM00060437
,  188,,,1996-06-15,AGM00060437
,  185,,,1996-08-24,AGM00060437
,  182,,,1996-08-25,AGM00060437
,  168,,,1996-08-28,AGM00060437
,  157,,,1996-08-30,AGM00060437
,  130,,,1996-09-01,AGM00060437
  245,  152,    0,,1996-09-04,AGM00060437
  206,  100,,,1996-10-05,AGM00060437
,   50,,,1996-10-08,AGM00060437
  190,  124,,,1996-10-11,AGM00060437
  165,  110,    0,,1996-10-13,AGM00060437
  177,,,,1996-10-26,AGM00060437
,,,,1996-11-03,AGM00060437
,  122,,,1996-11-09,AGM00060437
,  103,,,1996-11-15,AGM00060437
,,,,1996-12-02,AGM00060437
   95,   72,,,1996-12-16,AGM00060437
,   93,,,1997-03-01,AGM00060437
  155,   96,,,1997-03-06,AGM00060437
,   85,,,1997-03-21,AGM00060437
,   97,,,1997-03-23,AGM00060437
,,,,1997-04-15,AGM00060437
,   84,   10,,1997-04-19,AGM00060437
  263,  181,,,1997-06-22,AGM00060437
  355,  212,,,1997-07-21,AGM00060437
,  259,,,1997-08-03,AGM00060437
  112,,   89,,1997-11-20,AGM00060437
,  140,,,2001-05-25,AGM00060437
  218,  145,,,2001-05-26,AGM00060437
,  145,,,2001-05-27,AGM00060437
  286,,,,2001-05-29,AGM00060437
  292,  212,,,2001-05-30,AGM00060437
