"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ZI000067843","1968-07-19","-18.1","25.85","1062.0","VICTORIA FALLS, ZI","    0",",,Q","  266",",,Q","   39",",,Q"
"ZI000067843","1968-07-20","-18.1","25.85","1062.0","VICTORIA FALLS, ZI","    0",",,Q","  274",",,Q","   62",",,Q"
"ZI000067843","1968-07-21","-18.1","25.85","1062.0","VICTORIA FALLS, ZI","    0",",,Q","  257",",,Q","   79",",,Q"
"ZI000067843","1968-07-22","-18.1","25.85","1062.0","VICTORIA FALLS, ZI","    0",",,Q","  238",",,Q","  105",",,Q"
"ZI000067843","1968-07-23","-18.1","25.85","1062.0","VICTORIA FALLS, ZI","    0",",,Q","  236",",,Q","   71",",,Q"
"ZI000067843","1968-07-24","-18.1","25.85","1062.0","VICTORIA FALLS, ZI","    0",",,Q","  241",",,Q","   58",",,Q"
"ZI000067843","1968-07-25","-18.1","25.85","1062.0","VICTORIA FALLS, ZI","    0",",,Q","  267",",,Q","   45",",,Q"
"ZI000067843","1968-07-26","-18.1","25.85","1062.0","VICTORIA FALLS, ZI","    0",",,Q","  287",",,Q","   83",",,Q"
"ZI000067843","1968-07-27","-18.1","25.85","1062.0","VICTORIA FALLS, ZI","    0",",,Q","  298",",,Q","   87",",,Q"
"ZI000067843","1968-07-28","-18.1","25.85","1062.0","VICTORIA FALLS, ZI","    0",",,Q","  307",",,Q","  113",",,Q"
"ZI000067843","1968-07-29","-18.1","25.85","1062.0","VICTORIA FALLS, ZI","    0",",,Q","  306",",,Q","  108",",,Q"
"ZI000067843","1968-07-30","-18.1","25.85","1062.0","VICTORIA FALLS, ZI","    0",",,Q","  301",",,Q","   85",",,Q"
"ZI000067843","1968-07-31","-18.1","25.85","1062.0","VICTORIA FALLS, ZI","    0",",,Q","  302",",,Q","   97",",,Q"
"ZI000067843","1968-08-01","-18.1","25.85","1062.0","VICTORIA FALLS, ZI","    0",",,Q","  302",",,Q","   93",",,Q"
"ZI000067843","1968-08-02","-18.1","25.85","1062.0","VICTORIA FALLS, ZI","    0",",,Q","  298",",,Q","   89",",,Q"
"ZI000067843","1968-08-03","-18.1","25.85","1062.0","VICTORIA FALLS, ZI","    0",",,Q","  291",",,Q","  101",",,Q"
"ZI000067843","1968-08-04","-18.1","25.85","1062.0","VICTORIA FALLS, ZI","    0",",,Q","  290",",,Q","   73",",,Q"
"ZI000067843","1968-08-05","-18.1","25.85","1062.0","VICTORIA FALLS, ZI","    0",",,Q","  293",",,Q","   60",",,Q"
"ZI000067843","1968-08-06","-18.1","25.85","1062.0","VICTORIA FALLS, ZI","    0",",,Q","  291",",,Q","   78",",,Q"
"ZI000067843","1968-08-07","-18.1","25.85","1062.0","VICTORIA FALLS, ZI","    0",",,Q","  294",",,Q","   74",",,Q"
