"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1KYSP0004","2010-08-04","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-08-05","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-08-06","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   48",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-08-07","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-08-08","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-08-09","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-08-10","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-08-11","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0","T,,N",,,,,,,,,,,,
"US1KYSP0004","2010-08-12","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0","T,,N",,,,,,,,,,,,
"US1KYSP0004","2010-08-13","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   66",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-08-14","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-08-15","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","  246",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-08-16","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","  191",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-08-17","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-08-18","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    3",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-08-19","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-08-20","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-08-21","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-08-22","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   33",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-08-23","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-08-24","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-08-25","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-08-26","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0","T,,N",,,,,,,,,,,,
"US1KYSP0004","2010-08-27","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-08-28","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-08-29","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-08-30","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-08-31","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-01","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-02","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-03","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-04","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-05","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-06","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-07","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-08","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   97",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-09-09","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-10","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-11","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   91",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-09-12","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   18",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-09-13","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-14","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-15","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-16","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    3",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-09-17","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   15",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-09-18","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-19","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-20","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-21","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-22","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-23","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-24","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-25","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   30",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-09-26","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-27","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-28","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-29","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-09-30","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-01","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-02","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-03","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   20",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-10-04","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-05","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-06","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-07","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-08","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-09","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-10","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-12","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-13","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-14","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   53",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-10-15","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-16","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-17","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-19","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-20","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-21","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-23","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-24","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-25","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   18",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-10-26","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   10",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-10-27","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","  198",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-10-28","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-29","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-30","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-10-31","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-11-01","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-11-02","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-11-03","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-11-04","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    5",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-11-05","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   15",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-11-06","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0","T,,N",,,,,,,,,,,,
"US1KYSP0004","2010-11-07","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-11-08","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-11-09","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-11-10","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-11-11","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-11-12","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-11-13","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-11-14","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   51",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-11-15","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-11-16","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0","T,,N",,,,,,,,,,,,
"US1KYSP0004","2010-12-04","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   18",",,N","   20",",,N","   25",",,N",,,,,"   18",",,N","   18",",,N"
"US1KYSP0004","2010-12-05","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   71",",,N","   43",",,N","   66",",,N",,,,,"   94",",,N","   71",",,N"
"US1KYSP0004","2010-12-06","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0","T,,N","    0","T,,N","   51",",,N",,,,,,,,
"US1KYSP0004","2010-12-07","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    3",",,N","    8",",,N","   38",",,N",,,,,,,,
"US1KYSP0004","2010-12-08","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N","   13",",,N",,,,,,,,
"US1KYSP0004","2010-12-09","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N","   13",",,N",,,,,,,,
"US1KYSP0004","2010-12-10","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0","T,,N","    0","T,,N","    0","T,,N",,,,,,,,
"US1KYSP0004","2010-12-12","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   84",",,N","    5",",,N","    0","T,,N",,,,,,,,
"US1KYSP0004","2010-12-13","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   25",",,N","   64",",,N","   64",",,N",,,,,,,"   25",",,N"
"US1KYSP0004","2010-12-14","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0","T,,N","    0","T,,N","   51",",,N",,,,,,,,
"US1KYSP0004","2010-12-15","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N","   25",",,N",,,,,,,,
"US1KYSP0004","2010-12-16","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   97",",,N","    0","T,,N","   13",",,N",,,,,,,,
"US1KYSP0004","2010-12-17","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   13",",,N","    0","T,,N","   13",",,N",,,,,,,,
"US1KYSP0004","2010-12-18","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0","T,,N","    0","T,,N","   13",",,N",,,,,,,,
"US1KYSP0004","2010-12-21","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   10",",,N","    3",",,N","    0","T,,N",,,,,,,,
"US1KYSP0004","2010-12-22","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0","T,,N",,,,,,,,,"    0","T,,N",,
"US1KYSP0004","2010-12-24","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2010-12-25","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   28",",,N","   43",",,N","   38",",,N",,,,,"   28",",,N","   28",",,N"
"US1KYSP0004","2010-12-26","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0","T,,N","    0","T,,N","   25",",,N",,,,,,,,
"US1KYSP0004","2010-12-27","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0","T,,N","    0","T,,N","   25",",,N",,,,,,,,
"US1KYSP0004","2010-12-28","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N","   13",",,N",,,,,,,,
"US1KYSP0004","2010-12-30","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   99",",,N",,,,,,,,,,,,
"US1KYSP0004","2010-12-31","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   28",",,N",,,,,,,,,,,,
"US1KYSP0004","2011-01-01","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","  147",",,N",,,,,,,,,,,,
"US1KYSP0004","2011-01-02","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   13",",,N",,,,,,,,,,,,
"US1KYSP0004","2011-01-03","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2011-01-04","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2011-01-05","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N",,,,,,,,,,
"US1KYSP0004","2011-01-07","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0","T,,N","    0","T,,N","    0","T,,N",,,,,,,,
"US1KYSP0004","2011-01-08","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   18",",,N","   38",",,N","   25",",,N",,,,,,,,
"US1KYSP0004","2011-01-09","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0","T,,N","    0","T,,N","   13",",,N",,,,,,,,
"US1KYSP0004","2011-01-10","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    0",",,N","    0",",,N","    0","T,,N",,,,,,,,
"US1KYSP0004","2011-01-11","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","    5",",,N","    8",",,N","   13",",,N",,,,,,,,
"US1KYSP0004","2011-01-12","38.09725","-85.42266","220.1","TAYLORSVILLE 6.1 NW, KY US","   28",",,N","   53",",,N","   64",",,N",,,,,,,,
