"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"US1KYSC0015","2011-06-21","38.2096","-84.4771","274.6","GEORGETOWN 4.5 E, KY US","   51",",,N",,,,,,,,,,
"US1KYSC0015","2011-06-22","38.2096","-84.4771","274.6","GEORGETOWN 4.5 E, KY US","   28",",,N",,,,,,,,,,
"US1KYSC0015","2011-06-23","38.2096","-84.4771","274.6","GEORGETOWN 4.5 E, KY US","  145",",,N",,,,,,,,,,
"US1KYSC0015","2011-06-24","38.2096","-84.4771","274.6","GEORGETOWN 4.5 E, KY US","   51",",,N",,,,,,,,,,
"US1KYSC0015","2011-06-25","38.2096","-84.4771","274.6","GEORGETOWN 4.5 E, KY US","    0",",,N","    0",",,N",,,,,,,,
"US1KYSC0015","2011-06-26","38.2096","-84.4771","274.6","GEORGETOWN 4.5 E, KY US","   46",",,N",,,,,,,,,,
"US1KYSC0015","2011-06-28","38.2096","-84.4771","274.6","GEORGETOWN 4.5 E, KY US","  244",",,N",,,,,,,,,,
"US1KYSC0015","2011-07-01","38.2096","-84.4771","274.6","GEORGETOWN 4.5 E, KY US","    0",",,N","    0",",,N",,,,,,,,
"US1KYSC0015","2011-07-02","38.2096","-84.4771","274.6","GEORGETOWN 4.5 E, KY US","    0",",,N","    0",",,N",,,,,,,,
"US1KYSC0015","2011-07-03","38.2096","-84.4771","274.6","GEORGETOWN 4.5 E, KY US","    0",",,N","    0",",,N",,,,,,,,
"US1KYSC0015","2011-07-05","38.2096","-84.4771","274.6","GEORGETOWN 4.5 E, KY US",,,,,,,"    2",",,N","    5",",,N",,
"US1KYSC0015","2011-07-06","38.2096","-84.4771","274.6","GEORGETOWN 4.5 E, KY US","   58",",,N",,,,,,,,,,
