"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ZI000067853","1962-08-12","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  284",",,Q","   95",",,Q"
"ZI000067853","1962-08-13","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  286",",,Q","   84",",,Q"
"ZI000067853","1962-08-14","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  260",",,Q","   92",",,Q"
"ZI000067853","1962-08-15","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  264",",,Q","   72",",,Q"
"ZI000067853","1962-08-16","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  268",",,Q","   31",",,Q"
"ZI000067853","1962-08-17","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  264",",,Q","   13",",,Q"
"ZI000067853","1962-08-18","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  268",",,Q","   43",",,Q"
"ZI000067853","1962-08-19","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  273",",,Q","   56",",,Q"
"ZI000067853","1962-08-20","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  295",",,Q","   59",",,Q"
"ZI000067853","1962-08-21","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  304",",,Q","   74",",,Q"
"ZI000067853","1962-08-22","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  309",",,Q","   81",",,Q"
"ZI000067853","1962-08-23","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  307",",,Q","  114",",,Q"
"ZI000067853","1962-08-24","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  311",",,Q","  117",",,Q"
"ZI000067853","1962-08-25","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  307",",,Q","  103",",,Q"
"ZI000067853","1962-08-26","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  305",",,Q","  119",",,Q"
"ZI000067853","1962-08-27","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  256",",,Q","  136",",,Q"
"ZI000067853","1962-08-28","-18.633","27.0","1077.0","HWANGE NATIONAL PAR, ZI","    0",",,Q","  198",",,Q","   30",",,Q"
