"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ZI000067964","1962-08-09","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  228",",,I","   67",",,I","  165","H,,S"
"ZI000067964","1962-08-10","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  256",",,I","   78",",,I","  187","H,,S"
"ZI000067964","1962-08-11","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  261",",,I","  111",",,I","  201","H,,S"
"ZI000067964","1962-08-12","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  256",",,I","  117",",,I","  191","H,,S"
"ZI000067964","1962-08-13","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  244",",,I","  100",",,I","  182","H,,S"
"ZI000067964","1962-08-14","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  217",",,I","  100",",,I","  167","H,,S"
"ZI000067964","1962-08-15","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  228",",,I","   78",",,I","  163","H,,S"
"ZI000067964","1962-08-16","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  222",",,I","   83",",,I","  162","H,,S"
"ZI000067964","1962-08-17","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  233",",,I","   67",",,I","  165","H,,S"
"ZI000067964","1962-08-18","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  239",",,I","   78",",,I","  176","H,,S"
"ZI000067964","1962-08-19","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  250",",,I","   83",",,I","  186","H,,S"
"ZI000067964","1962-08-20","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  267",",,I","  100",",,I","  202","H,,S"
"ZI000067964","1962-08-21","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  289",",,I","   89",",,I","  210","H,,S"
"ZI000067964","1962-08-22","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI",,,"  289",",,I","  144",",,I","  231","H,,S"
"ZI000067964","1962-08-23","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  294",",,I","  144",",,I","  236","H,,S"
"ZI000067964","1962-08-24","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  289",",,I","  111",",,I","  219","H,,S"
"ZI000067964","1962-08-25","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  289",",,I","  117",",,I","  222","H,,S"
"ZI000067964","1962-08-26","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  294",",,I","   94",",,I","  217","H,,S"
"ZI000067964","1962-08-27","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI",,,"  239",",,I","  117",",,I","  183","H,,S"
"ZI000067964","1962-08-28","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  156",",,I","   44",",,I","  106","H,,S"
"ZI000067964","1962-08-29","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  211",",,I","   22",",,I","  137","H,,S"
"ZI000067964","1962-08-30","-20.15","28.617","1344.0","BULAWAYO GOETZ OBS, ZI","    0",",,I","  239",",,I","   50",",,I","  167","H,,S"
