"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"BR047053160","1946-12-04","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-05","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-06","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-07","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-08","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-09","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-10","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-11","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-12","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-13","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-14","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-15","-10.18","-42.43","358.0","PILAO ARCADO, BR","   10",",,I"
"BR047053160","1946-12-16","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-17","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-18","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-19","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-20","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-21","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-22","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-23","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-24","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-25","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-26","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-27","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-28","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-29","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-30","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1946-12-31","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-01","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-02","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-03","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-04","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-05","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-06","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-07","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-08","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-09","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-10","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-11","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-12","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-13","-10.18","-42.43","358.0","PILAO ARCADO, BR","  130",",,I"
"BR047053160","1947-01-14","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-15","-10.18","-42.43","358.0","PILAO ARCADO, BR","   90",",,I"
"BR047053160","1947-01-16","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-17","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-18","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-19","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-20","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-21","-10.18","-42.43","358.0","PILAO ARCADO, BR"," 1040",",,I"
"BR047053160","1947-01-22","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-23","-10.18","-42.43","358.0","PILAO ARCADO, BR","  250",",,I"
"BR047053160","1947-01-24","-10.18","-42.43","358.0","PILAO ARCADO, BR","   70",",,I"
"BR047053160","1947-01-25","-10.18","-42.43","358.0","PILAO ARCADO, BR","   40",",,I"
"BR047053160","1947-01-26","-10.18","-42.43","358.0","PILAO ARCADO, BR","  360",",,I"
"BR047053160","1947-01-27","-10.18","-42.43","358.0","PILAO ARCADO, BR","  100",",,I"
"BR047053160","1947-01-28","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-29","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-01-30","-10.18","-42.43","358.0","PILAO ARCADO, BR","  110",",,I"
"BR047053160","1947-01-31","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-01","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-02","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-03","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-04","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-05","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-06","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-07","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-08","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-09","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-10","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-11","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-12","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-13","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-14","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-15","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-16","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
"BR047053160","1947-02-17","-10.18","-42.43","358.0","PILAO ARCADO, BR","   21",",,I"
"BR047053160","1947-02-18","-10.18","-42.43","358.0","PILAO ARCADO, BR","    0",",,I"
