"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"US1KYSH0007","2010-05-22","38.312395","-85.303559","239.6","SHELBYVILLE 7.6 NNW, KY US","  201",",,N",,,,,,,,
"US1KYSH0007","2010-05-23","38.312395","-85.303559","239.6","SHELBYVILLE 7.6 NNW, KY US","    0","T,,N",,,,,,,,
"US1KYSH0007","2010-05-24","38.312395","-85.303559","239.6","SHELBYVILLE 7.6 NNW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYSH0007","2010-05-25","38.312395","-85.303559","239.6","SHELBYVILLE 7.6 NNW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYSH0007","2010-05-26","38.312395","-85.303559","239.6","SHELBYVILLE 7.6 NNW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYSH0007","2010-05-27","38.312395","-85.303559","239.6","SHELBYVILLE 7.6 NNW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYSH0007","2010-05-28","38.312395","-85.303559","239.6","SHELBYVILLE 7.6 NNW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYSH0007","2010-05-29","38.312395","-85.303559","239.6","SHELBYVILLE 7.6 NNW, KY US","   28",",,N",,,,,,,,
"US1KYSH0007","2010-05-30","38.312395","-85.303559","239.6","SHELBYVILLE 7.6 NNW, KY US","    0","T,,N",,,,,,,,
"US1KYSH0007","2010-05-31","38.312395","-85.303559","239.6","SHELBYVILLE 7.6 NNW, KY US","  127",",,N",,,,,,,,
"US1KYSH0007","2010-06-01","38.312395","-85.303559","239.6","SHELBYVILLE 7.6 NNW, KY US","   58",",,N",,,,,,,,
"US1KYSH0007","2010-06-02","38.312395","-85.303559","239.6","SHELBYVILLE 7.6 NNW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYSH0007","2010-06-03","38.312395","-85.303559","239.6","SHELBYVILLE 7.6 NNW, KY US","    3",",,N",,,,,,,,
"US1KYSH0007","2010-06-04","38.312395","-85.303559","239.6","SHELBYVILLE 7.6 NNW, KY US","    0",",,N","    0",",,N",,,,,,
"US1KYSH0007","2010-06-05","38.312395","-85.303559","239.6","SHELBYVILLE 7.6 NNW, KY US","   91",",,N",,,,,,,,
