"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ZI000067969","1962-07-01","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  273",",,Q","   13",",,Q"
"ZI000067969","1962-07-02","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  249",",,Q","   34",",,Q"
"ZI000067969","1962-07-03","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  233",",,Q","   16",",,Q"
"ZI000067969","1962-07-04","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  235",",,Q","   16",",,Q"
"ZI000067969","1962-07-05","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  250",",,Q","   32",",,Q"
"ZI000067969","1962-07-06","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  255",",,Q","   49",",,Q"
"ZI000067969","1962-07-07","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  274",",,Q","   71",",,Q"
"ZI000067969","1962-07-08","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  268",",,Q","   41",",,Q"
"ZI000067969","1962-07-09","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  220",",,Q","   49",",,Q"
"ZI000067969","1962-07-10","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  201",",,Q","  111",",,Q"
"ZI000067969","1962-07-11","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  222",",,Q","    7",",,Q"
"ZI000067969","1962-07-12","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  245",",,Q","    8",",,Q"
"ZI000067969","1962-07-13","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  245",",,Q","   26",",,Q"
"ZI000067969","1962-07-14","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  244",",,Q","   46",",,Q"
"ZI000067969","1962-07-15","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  240",",,Q","   27",",,Q"
"ZI000067969","1962-07-16","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  217",",,Q","   26",",,Q"
"ZI000067969","1962-07-17","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  238",",,Q","   21",",,Q"
"ZI000067969","1962-07-18","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  238",",,Q","   49",",,Q"
"ZI000067969","1962-07-19","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  247",",,Q","   38",",,Q"
"ZI000067969","1962-07-20","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  223",",,Q","   44",",,Q"
"ZI000067969","1962-07-21","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  216",",,Q","  101",",,Q"
"ZI000067969","1962-07-22","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  239",",,Q","   54",",,Q"
"ZI000067969","1962-07-23","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  254",",,Q","   28",",,Q"
"ZI000067969","1962-07-24","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  267",",,Q","   29",",,Q"
"ZI000067969","1962-07-25","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  327",",,Q","   71",",,Q"
"ZI000067969","1962-07-26","-21.05","29.367","861.0","WEST NICHOLSON, ZI","    0",",,Q","  219",",,Q","   51",",,Q"
