"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ZI000067865","1951-08-24","-18.933","29.833","1215.0","KWEKWE, ZI","  263",",,Q","   77",",,Q"
"ZI000067865","1951-08-25","-18.933","29.833","1215.0","KWEKWE, ZI","  253",",,Q","  110",",,Q"
"ZI000067865","1951-08-26","-18.933","29.833","1215.0","KWEKWE, ZI","  230",",,Q","  106",",,Q"
"ZI000067865","1951-08-27","-18.933","29.833","1215.0","KWEKWE, ZI","  242",",,Q","  107",",,Q"
"ZI000067865","1951-08-28","-18.933","29.833","1215.0","KWEKWE, ZI","  249",",,Q","   96",",,Q"
"ZI000067865","1951-08-29","-18.933","29.833","1215.0","KWEKWE, ZI","  249",",,Q","  106",",,Q"
"ZI000067865","1951-08-30","-18.933","29.833","1215.0","KWEKWE, ZI","  269",",,Q","  103",",,Q"
"ZI000067865","1951-08-31","-18.933","29.833","1215.0","KWEKWE, ZI","  287",",,Q","  142",",,Q"
"ZI000067865","1951-09-01","-18.933","29.833","1215.0","KWEKWE, ZI","  234",",,Q","  150",",,Q"
"ZI000067865","1951-09-02","-18.933","29.833","1215.0","KWEKWE, ZI","  242",",,Q","  107",",,Q"
"ZI000067865","1951-09-03","-18.933","29.833","1215.0","KWEKWE, ZI","  271",",,Q","   97",",,Q"
"ZI000067865","1951-09-04","-18.933","29.833","1215.0","KWEKWE, ZI","  303",",,Q","   97",",,Q"
"ZI000067865","1951-09-05","-18.933","29.833","1215.0","KWEKWE, ZI","  307",",,Q","   83",",,Q"
"ZI000067865","1951-09-06","-18.933","29.833","1215.0","KWEKWE, ZI","  287",",,Q","   63",",,Q"
"ZI000067865","1951-09-07","-18.933","29.833","1215.0","KWEKWE, ZI","  267",",,Q","   94",",,Q"
"ZI000067865","1951-09-08","-18.933","29.833","1215.0","KWEKWE, ZI","  256",",,Q","   87",",,Q"
"ZI000067865","1951-09-09","-18.933","29.833","1215.0","KWEKWE, ZI","  283",",,Q","   77",",,Q"
"ZI000067865","1951-09-10","-18.933","29.833","1215.0","KWEKWE, ZI","  296",",,Q","   67",",,Q"
"ZI000067865","1951-09-11","-18.933","29.833","1215.0","KWEKWE, ZI","  304",",,Q","   89",",,Q"
"ZI000067865","1951-09-12","-18.933","29.833","1215.0","KWEKWE, ZI","  314",",,Q","   99",",,Q"
"ZI000067865","1951-09-13","-18.933","29.833","1215.0","KWEKWE, ZI","  313",",,Q","  123",",,Q"
"ZI000067865","1951-09-14","-18.933","29.833","1215.0","KWEKWE, ZI","  314",",,Q","  127",",,Q"
"ZI000067865","1951-09-15","-18.933","29.833","1215.0","KWEKWE, ZI","  319",",,Q","  131",",,Q"
"ZI000067865","1951-09-16","-18.933","29.833","1215.0","KWEKWE, ZI","  303",",,Q","  131",",,Q"
"ZI000067865","1951-09-17","-18.933","29.833","1215.0","KWEKWE, ZI","  320",",,Q","  103",",,Q"
"ZI000067865","1951-09-18","-18.933","29.833","1215.0","KWEKWE, ZI","  279",",,Q","  158",",,Q"
"ZI000067865","1951-09-19","-18.933","29.833","1215.0","KWEKWE, ZI","  285",",,Q","  114",",,Q"
"ZI000067865","1951-09-20","-18.933","29.833","1215.0","KWEKWE, ZI","  292",",,Q","  117",",,Q"
"ZI000067865","1951-09-21","-18.933","29.833","1215.0","KWEKWE, ZI","  291",",,Q","  140",",,Q"
"ZI000067865","1951-09-22","-18.933","29.833","1215.0","KWEKWE, ZI","  312",",,Q","   93",",,Q"
"ZI000067865","1951-09-23","-18.933","29.833","1215.0","KWEKWE, ZI","  341",",,Q","  108",",,Q"
"ZI000067865","1951-09-24","-18.933","29.833","1215.0","KWEKWE, ZI","  290",",,Q","  162",",,Q"
"ZI000067865","1951-09-25","-18.933","29.833","1215.0","KWEKWE, ZI","  281",",,Q","  149",",,Q"
"ZI000067865","1951-09-26","-18.933","29.833","1215.0","KWEKWE, ZI","  307",",,Q","  103",",,Q"
"ZI000067865","1951-09-27","-18.933","29.833","1215.0","KWEKWE, ZI","  321",",,Q","  136",",,Q"
"ZI000067865","1951-09-28","-18.933","29.833","1215.0","KWEKWE, ZI","  328",",,Q","  157",",,Q"
"ZI000067865","1951-09-29","-18.933","29.833","1215.0","KWEKWE, ZI","  319",",,Q","  131",",,Q"
"ZI000067865","1951-09-30","-18.933","29.833","1215.0","KWEKWE, ZI","  324",",,Q","  147",",,Q"
"ZI000067865","1951-10-01","-18.933","29.833","1215.0","KWEKWE, ZI","  333",",,Q","  152",",,Q"
"ZI000067865","1951-10-02","-18.933","29.833","1215.0","KWEKWE, ZI","  344",",,Q","  164",",,Q"
"ZI000067865","1951-10-03","-18.933","29.833","1215.0","KWEKWE, ZI","  331",",,Q","  149",",,Q"
"ZI000067865","1951-10-04","-18.933","29.833","1215.0","KWEKWE, ZI","  340",",,Q","  139",",,Q"
"ZI000067865","1951-10-05","-18.933","29.833","1215.0","KWEKWE, ZI","  339",",,Q","  153",",,Q"
"ZI000067865","1951-10-06","-18.933","29.833","1215.0","KWEKWE, ZI","  329",",,Q","  177",",,Q"
"ZI000067865","1951-10-07","-18.933","29.833","1215.0","KWEKWE, ZI","  331",",,Q","  150",",,Q"
"ZI000067865","1951-10-08","-18.933","29.833","1215.0","KWEKWE, ZI","  339",",,Q","  136",",,Q"
"ZI000067865","1951-10-09","-18.933","29.833","1215.0","KWEKWE, ZI","  358",",,Q","  169",",,Q"
"ZI000067865","1951-10-10","-18.933","29.833","1215.0","KWEKWE, ZI","  356",",,Q","  181",",,Q"
"ZI000067865","1951-10-11","-18.933","29.833","1215.0","KWEKWE, ZI","  319",",,Q","  194",",,Q"
"ZI000067865","1951-10-12","-18.933","29.833","1215.0","KWEKWE, ZI","  306",",,Q","  161",",,Q"
"ZI000067865","1951-10-13","-18.933","29.833","1215.0","KWEKWE, ZI","  336",",,Q","  146",",,Q"
"ZI000067865","1951-10-14","-18.933","29.833","1215.0","KWEKWE, ZI","  321",",,Q","  171",",,Q"
"ZI000067865","1951-10-15","-18.933","29.833","1215.0","KWEKWE, ZI","  331",",,Q","  167",",,Q"
"ZI000067865","1951-10-16","-18.933","29.833","1215.0","KWEKWE, ZI","  197",",,Q","  177",",,Q"
"ZI000067865","1951-10-17","-18.933","29.833","1215.0","KWEKWE, ZI","  302",",,Q","  149",",,Q"
"ZI000067865","1951-10-18","-18.933","29.833","1215.0","KWEKWE, ZI","  296",",,Q","  169",",,Q"
"ZI000067865","1951-10-19","-18.933","29.833","1215.0","KWEKWE, ZI","  322",",,Q","  161",",,Q"
"ZI000067865","1951-10-20","-18.933","29.833","1215.0","KWEKWE, ZI","  302",",,Q","  182",",,Q"
"ZI000067865","1951-10-21","-18.933","29.833","1215.0","KWEKWE, ZI","  273",",,Q","  164",",,Q"
"ZI000067865","1951-10-22","-18.933","29.833","1215.0","KWEKWE, ZI","  225",",,Q","  189",",,Q"
"ZI000067865","1951-10-23","-18.933","29.833","1215.0","KWEKWE, ZI","  241",",,Q","  156",",,Q"
"ZI000067865","1951-10-24","-18.933","29.833","1215.0","KWEKWE, ZI","  294",",,Q","  171",",,Q"
"ZI000067865","1951-10-25","-18.933","29.833","1215.0","KWEKWE, ZI","  263",",,Q","  177",",,Q"
"ZI000067865","1951-10-26","-18.933","29.833","1215.0","KWEKWE, ZI","  285",",,Q","  176",",,Q"
"ZI000067865","1951-10-27","-18.933","29.833","1215.0","KWEKWE, ZI","  263",",,Q","  186",",,Q"
"ZI000067865","1951-10-28","-18.933","29.833","1215.0","KWEKWE, ZI","  315",",,Q","  166",",,Q"
"ZI000067865","1951-10-29","-18.933","29.833","1215.0","KWEKWE, ZI","  234",",,Q","  177",",,Q"
"ZI000067865","1951-10-30","-18.933","29.833","1215.0","KWEKWE, ZI","  263",",,Q","  168",",,Q"
"ZI000067865","1951-10-31","-18.933","29.833","1215.0","KWEKWE, ZI","  267",",,Q","  168",",,Q"
"ZI000067865","1951-11-01","-18.933","29.833","1215.0","KWEKWE, ZI","  242",",,Q","  153",",,Q"
"ZI000067865","1951-11-02","-18.933","29.833","1215.0","KWEKWE, ZI","  212",",,Q","  153",",,Q"
"ZI000067865","1951-11-03","-18.933","29.833","1215.0","KWEKWE, ZI","  233",",,Q","  157",",,Q"
"ZI000067865","1951-11-04","-18.933","29.833","1215.0","KWEKWE, ZI","  222",",,Q","  168",",,Q"
"ZI000067865","1951-11-05","-18.933","29.833","1215.0","KWEKWE, ZI","  261",",,Q","  174",",,Q"
"ZI000067865","1951-11-06","-18.933","29.833","1215.0","KWEKWE, ZI","  285",",,Q","  173",",,Q"
"ZI000067865","1951-11-07","-18.933","29.833","1215.0","KWEKWE, ZI","  273",",,Q","  165",",,Q"
"ZI000067865","1951-11-08","-18.933","29.833","1215.0","KWEKWE, ZI","  212",",,Q","  156",",,Q"
"ZI000067865","1951-11-09","-18.933","29.833","1215.0","KWEKWE, ZI","  242",",,Q","  150",",,Q"
"ZI000067865","1951-11-10","-18.933","29.833","1215.0","KWEKWE, ZI","  284",",,Q","  172",",,Q"
"ZI000067865","1951-11-11","-18.933","29.833","1215.0","KWEKWE, ZI","  304",",,Q","  174",",,Q"
"ZI000067865","1951-11-12","-18.933","29.833","1215.0","KWEKWE, ZI","  252",",,Q","  161",",,Q"
"ZI000067865","1951-11-13","-18.933","29.833","1215.0","KWEKWE, ZI","  267",",,Q","  132",",,Q"
"ZI000067865","1951-11-14","-18.933","29.833","1215.0","KWEKWE, ZI","  274",",,Q","  127",",,Q"
"ZI000067865","1951-11-15","-18.933","29.833","1215.0","KWEKWE, ZI","  283",",,Q","  128",",,Q"
"ZI000067865","1951-11-16","-18.933","29.833","1215.0","KWEKWE, ZI","  280",",,Q","  120",",,Q"
"ZI000067865","1951-11-17","-18.933","29.833","1215.0","KWEKWE, ZI","  284",",,Q","  119",",,Q"
"ZI000067865","1951-11-18","-18.933","29.833","1215.0","KWEKWE, ZI","  296",",,Q","  132",",,Q"
"ZI000067865","1951-11-19","-18.933","29.833","1215.0","KWEKWE, ZI","  304",",,Q","  148",",,Q"
"ZI000067865","1951-11-20","-18.933","29.833","1215.0","KWEKWE, ZI","  318",",,Q","  161",",,Q"
"ZI000067865","1951-11-21","-18.933","29.833","1215.0","KWEKWE, ZI","  321",",,Q","  157",",,Q"
"ZI000067865","1951-11-22","-18.933","29.833","1215.0","KWEKWE, ZI","  322",",,Q","  147",",,Q"
"ZI000067865","1951-11-23","-18.933","29.833","1215.0","KWEKWE, ZI","  309",",,Q","  156",",,Q"
"ZI000067865","1951-11-24","-18.933","29.833","1215.0","KWEKWE, ZI","  319",",,Q","  159",",,Q"
"ZI000067865","1951-11-25","-18.933","29.833","1215.0","KWEKWE, ZI","  301",",,Q","  199",",,Q"
"ZI000067865","1951-11-26","-18.933","29.833","1215.0","KWEKWE, ZI","  332",",,Q","  166",",,Q"
"ZI000067865","1951-11-27","-18.933","29.833","1215.0","KWEKWE, ZI","  343",",,Q","  167",",,Q"
"ZI000067865","1951-11-28","-18.933","29.833","1215.0","KWEKWE, ZI","  306",",,Q","  198",",,Q"
"ZI000067865","1951-11-29","-18.933","29.833","1215.0","KWEKWE, ZI","  313",",,Q","  197",",,Q"
"ZI000067865","1951-11-30","-18.933","29.833","1215.0","KWEKWE, ZI","  309",",,Q","  176",",,Q"
"ZI000067865","1951-12-01","-18.933","29.833","1215.0","KWEKWE, ZI","  323",",,Q","  159",",,Q"
"ZI000067865","1951-12-02","-18.933","29.833","1215.0","KWEKWE, ZI","  302",",,Q","  184",",,Q"
"ZI000067865","1951-12-03","-18.933","29.833","1215.0","KWEKWE, ZI","  238",",,Q","  178",",,Q"
"ZI000067865","1951-12-04","-18.933","29.833","1215.0","KWEKWE, ZI","  211",",,Q","  168",",,Q"
"ZI000067865","1951-12-05","-18.933","29.833","1215.0","KWEKWE, ZI","  283",",,Q","  156",",,Q"
"ZI000067865","1951-12-06","-18.933","29.833","1215.0","KWEKWE, ZI","  284",",,Q","  137",",,Q"
