TMAX,TMIN,PRCP,SNWD,DATE,STATION
,,,,1966-03-02,AFM00040948
,,,,1966-03-28,AFM00040948
  222,,,,1966-05-02,AFM00040948
  272,,,,1966-05-04,AFM00040948
,,,,1966-05-18,AFM00040948
,,,,1966-06-08,AFM00040948
,,,,1966-07-10,AFM00040948
  300,,,,1966-07-17,AFM00040948
,,,,1966-07-25,AFM00040948
  361,,,,1966-07-29,AFM00040948
,,,,1966-10-17,AFM00040948
,,,,1966-11-29,AFM00040948
   50,,,,1967-01-27,AFM00040948
  150,  -28,,,1967-03-04,AFM00040948
,   11,,,1967-04-09,AFM00040948
  172,   72,,,1967-04-11,AFM00040948
,   39,,,1967-04-13,AFM00040948
  172,,,,1967-05-01,AFM00040948
,,,,1967-05-04,AFM00040948
  211,   78,,,1967-05-10,AFM00040948
  222,   50,,,1967-05-13,AFM00040948
,   39,,,1967-05-14,AFM00040948
  278,  100,,,1967-05-30,AFM00040948
  311,  122,,,1967-06-12,AFM00040948
,  100,,,1967-06-22,AFM00040948
,,,,1967-06-24,AFM00040948
  328,  139,,,1967-08-12,AFM00040948
,,,,1967-08-20,AFM00040948
  328,,,,1967-09-10,AFM00040948
,  111,,,1967-09-12,AFM00040948
  272,  111,,,1967-09-18,AFM00040948
,,,,1967-09-29,AFM00040948
,,,,1967-10-03,AFM00040948
  222,,,,1967-10-09,AFM00040948
  250,   50,,,1967-10-14,AFM00040948
,   39,,,1967-10-24,AFM00040948
  200,   11,,,1967-10-28,AFM00040948
,,,,1967-12-15,AFM00040948
,  -78,,,1968-01-04,AFM00040948
   39,,,,1968-01-06,AFM00040948
   22,    0,,,1968-02-25,AFM00040948
  150,    0,,,1968-03-05,AFM00040948
  172,,,,1968-03-23,AFM00040948
,   22,,,1968-03-25,AFM00040948
  250,   61,,,1968-04-04,AFM00040948
  172,   28,,,1968-04-07,AFM00040948
,   39,,,1968-04-09,AFM00040948
  150,,,,1968-04-15,AFM00040948
  200,   39,,,1968-05-09,AFM00040948
  328,  111,,,1968-06-16,AFM00040948
  328,  189,,,1968-08-06,AFM00040948
  300,,,,1968-09-05,AFM00040948
,   61,,,1968-09-13,AFM00040948
  278,   78,,,1968-09-25,AFM00040948
  272,   61,,,1968-10-02,AFM00040948
  222,   39,,,1968-10-06,AFM00040948
  200,,,,1968-10-10,AFM00040948
  222,,,,1968-10-19,AFM00040948
  228,   11,,,1968-10-22,AFM00040948
  239,   28,,,1968-10-25,AFM00040948
,    0,,,1968-10-27,AFM00040948
,  -50,,,1968-11-02,AFM00040948
  150,  -50,,,1968-11-03,AFM00040948
,,,,1968-11-08,AFM00040948
  150,,,,1968-11-10,AFM00040948
,  -22,,,1968-11-17,AFM00040948
  128,  -22,,,1968-11-24,AFM00040948
  128,  -28,,,1968-11-27,AFM00040948
   28,,,,1968-12-10,AFM00040948
   78,  -78,,,1968-12-26,AFM00040948
,,,,1968-12-30,AFM00040948
,,,,1968-12-31,AFM00040948
,,,,1973-01-01,AFM00040948
,,,,1973-01-02,AFM00040948
,,,,1973-01-03,AFM00040948
,,,,1973-01-07,AFM00040948
   60,,,,1973-01-08,AFM00040948
,,,,1973-01-10,AFM00040948
,  -90,,,1973-01-12,AFM00040948
,,,,1973-01-13,AFM00040948
,,,,1973-01-15,AFM00040948
,,,,1973-01-16,AFM00040948
,,,,1973-01-17,AFM00040948
,,,,1973-01-18,AFM00040948
,,,,1973-01-19,AFM00040948
,,,,1973-01-20,AFM00040948
,,,,1973-01-21,AFM00040948
,,,,1973-01-22,AFM00040948
,,,,1973-01-24,AFM00040948
