TMAX,TMIN,PRCP,SNWD,DATE,STATION
,,,,1975-03-02,AF000040930
  -20,,,,1975-03-04,AF000040930
,,,,1975-03-06,AF000040930
  -70,,,,1975-03-08,AF000040930
, -130,,,1975-03-09,AF000040930
,,,,1975-03-12,AF000040930
, -140,,,1975-03-13,AF000040930
, -100,,,1975-03-14,AF000040930
,,,,1975-03-19,AF000040930
  -30,,,,1975-03-21,AF000040930
,  -90,,,1975-03-25,AF000040930
,,,,1975-04-04,AF000040930
,,,,1975-04-05,AF000040930
   20,  -70,,,1975-04-06,AF000040930
  -50,,,,1975-04-09,AF000040930
,,,,1975-04-10,AF000040930
,,,,1975-04-14,AF000040930
,,,,1975-04-16,AF000040930
,,,,1975-04-17,AF000040930
,,,,1975-04-18,AF000040930
,,,,1975-04-19,AF000040930
,,,,1975-04-20,AF000040930
,,,,1975-04-21,AF000040930
,,,,1975-04-22,AF000040930
,,,,1975-04-24,AF000040930
,,,,1975-04-26,AF000040930
,,,,1975-04-28,AF000040930
,,,,1975-04-29,AF000040930
,,,,1975-05-04,AF000040930
,,,,1975-05-05,AF000040930
,,,,1975-05-06,AF000040930
,  -10,,,1975-05-08,AF000040930
,,,,1975-05-11,AF000040930
,,,,1975-05-12,AF000040930
,   20,,,1975-05-14,AF000040930
,,,,1975-05-17,AF000040930
  110,,,,1975-05-18,AF000040930
,  -10,,,1975-05-22,AF000040930
,,,,1975-05-24,AF000040930
,   10,,,1975-05-26,AF000040930
,   30,,,1975-05-29,AF000040930
,,,,1975-06-03,AF000040930
,,,,1975-06-04,AF000040930
,,,,1975-06-05,AF000040930
,,,,1975-06-08,AF000040930
,,,,1975-06-09,AF000040930
,,,,1975-06-10,AF000040930
,,,,1975-06-12,AF000040930
,   30,,,1975-06-13,AF000040930
,,,,1975-06-14,AF000040930
,,,,1975-06-18,AF000040930
,,,,1975-06-19,AF000040930
,,,,1975-06-20,AF000040930
,,,,1975-06-22,AF000040930
