TMAX,TMIN,PRCP,SNWD,DATE,STATION
,,,,1973-08-27,AFM00040990
,,,,1973-08-28,AFM00040990
,,,,1973-08-29,AFM00040990
,,,,1973-08-30,AFM00040990
,  180,,,1973-08-31,AFM00040990
  360,,,,1973-09-01,AFM00040990
,,,,1973-09-02,AFM00040990
,  170,,,1973-09-03,AFM00040990
,,,,1973-09-04,AFM00040990
,,,,1973-09-05,AFM00040990
,,,,1973-09-06,AFM00040990
,,,,1973-09-07,AFM00040990
,  170,,,1973-09-08,AFM00040990
,,,,1973-09-11,AFM00040990
  350,,,,1973-09-12,AFM00040990
,,,,1973-09-13,AFM00040990
  350,,,,1973-09-15,AFM00040990
,,,,1973-09-16,AFM00040990
,,,,1973-09-17,AFM00040990
,,,,1973-09-18,AFM00040990
  370,,,,1973-09-21,AFM00040990
,,,,1973-09-22,AFM00040990
  320,,,,1973-09-23,AFM00040990
,  130,,,1973-09-25,AFM00040990
  330,,,,1973-09-27,AFM00040990
,,,,1973-09-28,AFM00040990
,,,,1973-09-30,AFM00040990
,,,,1973-10-01,AFM00040990
,,,,1973-10-02,AFM00040990
  250,,,,1973-10-03,AFM00040990
,,,,1973-10-04,AFM00040990
,,,,1973-10-05,AFM00040990
,,,,1973-10-06,AFM00040990
,,,,1973-10-08,AFM00040990
,,,,1973-10-10,AFM00040990
,,,,1973-10-11,AFM00040990
,,,,1973-10-12,AFM00040990
,,,,1973-10-13,AFM00040990
,   80,,,1973-10-15,AFM00040990
  310,,,,1973-10-16,AFM00040990
,   60,,,1973-10-17,AFM00040990
,,,,1973-10-18,AFM00040990
,   80,,,1973-10-19,AFM00040990
,,,,1973-10-20,AFM00040990
,   60,,,1973-10-22,AFM00040990
  270,,,,1973-10-23,AFM00040990
,,,,1973-10-25,AFM00040990
  240,,,,1973-10-26,AFM00040990
  250,,,,1973-10-27,AFM00040990
,,,,1973-10-28,AFM00040990
,,,,1973-10-29,AFM00040990
,,,,1973-10-30,AFM00040990
  260,   20,,,1973-10-31,AFM00040990
  260,,,,1973-11-01,AFM00040990
,,,,1973-11-02,AFM00040990
,,,,1973-11-03,AFM00040990
,,,,1973-11-04,AFM00040990
,,,,1973-11-05,AFM00040990
  280,   10,,,1973-11-06,AFM00040990
,,,,1973-11-08,AFM00040990
,,,,1973-11-09,AFM00040990
,,,,1973-11-10,AFM00040990
,,,,1973-11-11,AFM00040990
  170,,,,1973-11-12,AFM00040990
,,,,1973-11-13,AFM00040990
,  -20,,,1973-11-14,AFM00040990
,,,,1973-11-15,AFM00040990
,    0,,,1973-11-16,AFM00040990
  230,,,,1973-11-18,AFM00040990
,   20,,,1973-11-20,AFM00040990
  240,,,,1973-11-21,AFM00040990
,,,,1973-11-22,AFM00040990
,,,,1973-11-23,AFM00040990
,,,,1973-11-24,AFM00040990
,,,,1973-11-26,AFM00040990
  210,,,,1973-11-27,AFM00040990
,,,,1973-11-28,AFM00040990
,   10,,,1973-11-29,AFM00040990
  200,,,,1973-11-30,AFM00040990
,,,,1973-12-04,AFM00040990
,,,,1973-12-06,AFM00040990
,,,,1973-12-07,AFM00040990
,   40,,,1973-12-08,AFM00040990
  160,,,,1973-12-09,AFM00040990
,,,,1973-12-11,AFM00040990
  140,,,,1973-12-12,AFM00040990
,,,,1973-12-13,AFM00040990
,   40,,,1973-12-14,AFM00040990
  130,,,,1973-12-15,AFM00040990
,,,,1973-12-16,AFM00040990
,  -10,,,1973-12-17,AFM00040990
,,,,1973-12-22,AFM00040990
,,,,1973-12-23,AFM00040990
,,,,1973-12-27,AFM00040990
,,,,1973-12-31,AFM00040990
,,,,1974-01-01,AFM00040990
,,,,1974-01-03,AFM00040990
  110,  -60,,,1974-01-06,AFM00040990
,,,,1974-01-07,AFM00040990
,  -20,,,1974-01-08,AFM00040990
,,,,1974-01-09,AFM00040990
,,,,1974-01-10,AFM00040990
  170,,,,1974-01-11,AFM00040990
   90,,,,1974-01-12,AFM00040990
,,,,1974-01-13,AFM00040990
,,,,1974-01-16,AFM00040990
,,,,1974-01-17,AFM00040990
,   20,,,1974-01-22,AFM00040990
,   10,,,1974-01-23,AFM00040990
,,,,1974-01-24,AFM00040990
,,,,1974-01-25,AFM00040990
,  -10,,,1974-01-28,AFM00040990
  140,,,,1974-01-30,AFM00040990
,    0,,,1974-01-31,AFM00040990
,   30,,,1974-02-02,AFM00040990
,,,,1974-02-04,AFM00040990
,,,,1974-02-05,AFM00040990
,  -80,,,1974-02-06,AFM00040990
,,,,1974-02-07,AFM00040990
,,,,1974-02-08,AFM00040990
,,,,1974-02-09,AFM00040990
  110,,,,1974-02-11,AFM00040990
,  -30,,,1974-02-12,AFM00040990
,,,,1974-02-13,AFM00040990
,,,,1974-02-14,AFM00040990
,,,,1974-02-15,AFM00040990
,,,,1974-02-16,AFM00040990
,,,,1974-02-17,AFM00040990
,   30,,,1974-02-18,AFM00040990
,,,,1974-02-19,AFM00040990
,,,,1974-02-20,AFM00040990
,,,,1974-02-21,AFM00040990
   80,   10,,,1974-02-22,AFM00040990
,,,,1974-02-23,AFM00040990
,  -10,,,1974-02-24,AFM00040990
,,,,1974-02-25,AFM00040990
,,,,1974-02-26,AFM00040990
,   20,,,1974-02-27,AFM00040990
  170,,,,1974-02-28,AFM00040990
,,,,1974-03-01,AFM00040990
,   90,,,1974-03-02,AFM00040990
,,,,1974-03-03,AFM00040990
,,,,1974-03-04,AFM00040990
,,,,1974-03-05,AFM00040990
,,,,1974-03-06,AFM00040990
,,,,1974-03-08,AFM00040990
,,,,1974-03-09,AFM00040990
,,,,1974-03-10,AFM00040990
,,,,1974-03-11,AFM00040990
,,,,1974-03-12,AFM00040990
  190,,,,1974-03-13,AFM00040990
,,,,1974-03-14,AFM00040990
,,,,1974-03-15,AFM00040990
,,,,1974-03-18,AFM00040990
  270,,,,1974-03-19,AFM00040990
,,,,1974-03-21,AFM00040990
,  140,,,1974-03-22,AFM00040990
,,,,1974-03-23,AFM00040990
,,,,1974-03-25,AFM00040990
,,,,1974-03-26,AFM00040990
,,,,1974-03-27,AFM00040990
,,,,1974-03-28,AFM00040990
  290,,,,1974-03-29,AFM00040990
,,,,1974-03-30,AFM00040990
,,,,1974-03-31,AFM00040990
,,,,1974-04-02,AFM00040990
,   70,,,1974-04-03,AFM00040990
,,,,1974-04-05,AFM00040990
,,,,1974-04-06,AFM00040990
,,,,1974-04-07,AFM00040990
,,,,1974-04-09,AFM00040990
,,,,1974-04-11,AFM00040990
,  180,,,1974-04-12,AFM00040990
,  150,,,1974-04-13,AFM00040990
,,,,1974-04-14,AFM00040990
  300,,,,1974-04-17,AFM00040990
,,,,1974-04-18,AFM00040990
,  100,,,1974-04-19,AFM00040990
,,,,1974-04-20,AFM00040990
,,,,1974-04-21,AFM00040990
,,,,1974-04-23,AFM00040990
,,,,1974-04-24,AFM00040990
,,,,1974-04-25,AFM00040990
  340,,,,1974-04-27,AFM00040990
,,,,1974-04-28,AFM00040990
,,,,1974-05-01,AFM00040990
,,,,1974-05-02,AFM00040990
,,,,1974-05-03,AFM00040990
,   60,,,1974-05-04,AFM00040990
,,,,1974-05-05,AFM00040990
,,,,1974-05-06,AFM00040990
,,,,1974-05-07,AFM00040990
,  130,,,1974-05-08,AFM00040990
  330,,,,1974-05-09,AFM00040990
,,,,1974-05-10,AFM00040990
,,,,1974-05-11,AFM00040990
,,,,1974-05-13,AFM00040990
,,,,1974-05-15,AFM00040990
