TMAX,TMIN,DATE,STATION
  289,  150,1951-12-07,ZI000067865
  297,  164,1951-12-08,ZI000067865
  220,  178,1951-12-09,ZI000067865
  240,  170,1951-12-10,ZI000067865
  269,  178,1951-12-11,ZI000067865
  288,  181,1951-12-12,ZI000067865
  283,  167,1951-12-13,ZI000067865
  292,  173,1951-12-14,ZI000067865
  258,  176,1951-12-15,ZI000067865
  267,  145,1951-12-16,ZI000067865
  279,  141,1951-12-17,ZI000067865
  297,  140,1951-12-18,ZI000067865
  307,  168,1951-12-19,ZI000067865
  295,  179,1951-12-20,ZI000067865
  303,  191,1951-12-21,ZI000067865
  295,  175,1951-12-22,ZI000067865
  247,  175,1951-12-23,ZI000067865
  246,  181,1951-12-24,ZI000067865
  242,  187,1951-12-25,ZI000067865
  284,  189,1951-12-26,ZI000067865
  268,  182,1951-12-27,ZI000067865
  249,  161,1951-12-28,ZI000067865
  288,  138,1951-12-29,ZI000067865
  286,  120,1951-12-30,ZI000067865
  296,  167,1951-12-31,ZI000067865
  279,  190,1952-01-01,ZI000067865
  254,  185,1952-01-02,ZI000067865
  242,  196,1952-01-03,ZI000067865
  233,  198,1952-01-04,ZI000067865
  251,  189,1952-01-05,ZI000067865
  261,  188,1952-01-06,ZI000067865
  257,  192,1952-01-07,ZI000067865
  263,  189,1952-01-08,ZI000067865
  222,  156,1952-01-09,ZI000067865
  209,  174,1952-01-10,ZI000067865
  250,  161,1952-01-11,ZI000067865
  269,  132,1952-01-12,ZI000067865
  279,  144,1952-01-13,ZI000067865
  279,  147,1952-01-14,ZI000067865
  283,  155,1952-01-15,ZI000067865
  293,  179,1952-01-16,ZI000067865
  288,  178,1952-01-17,ZI000067865
  290,  172,1952-01-18,ZI000067865
  267,  194,1952-01-19,ZI000067865
  269,  188,1952-01-20,ZI000067865
  283,  177,1952-01-21,ZI000067865
  244,  178,1952-01-22,ZI000067865
  278,  184,1952-01-23,ZI000067865
  281,  194,1952-01-24,ZI000067865
  267,  189,1952-01-25,ZI000067865
  275,  189,1952-01-26,ZI000067865
  294,  172,1952-01-27,ZI000067865
  288,  178,1952-01-28,ZI000067865
  267,  187,1952-01-29,ZI000067865
  274,  186,1952-01-30,ZI000067865
  273,  191,1952-01-31,ZI000067865
  253,  188,1952-02-01,ZI000067865
  239,  175,1952-02-02,ZI000067865
  241,  172,1952-02-03,ZI000067865
  226,  171,1952-02-04,ZI000067865
  247,  150,1952-02-05,ZI000067865
  242,  138,1952-02-06,ZI000067865
  271,  166,1952-02-07,ZI000067865
  284,  182,1952-02-08,ZI000067865
  273,  185,1952-02-09,ZI000067865
  253,  172,1952-02-10,ZI000067865
  279,  178,1952-02-11,ZI000067865
  287,  182,1952-02-12,ZI000067865
  275,  181,1952-02-13,ZI000067865
  274,  184,1952-02-14,ZI000067865
  263,  172,1952-02-15,ZI000067865
  271,  161,1952-02-16,ZI000067865
  278,  137,1952-02-17,ZI000067865
  279,  156,1952-02-18,ZI000067865
  281,  161,1952-02-19,ZI000067865
  288,  159,1952-02-20,ZI000067865
  299,  156,1952-02-21,ZI000067865
  294,  169,1952-02-22,ZI000067865
  292,  198,1952-02-23,ZI000067865
  266,  192,1952-02-24,ZI000067865
  273,  183,1952-02-25,ZI000067865
  272,  184,1952-02-26,ZI000067865
  272,  177,1952-02-27,ZI000067865
  273,  173,1952-02-28,ZI000067865
  278,  194,1952-02-29,ZI000067865
  249,  184,1952-03-01,ZI000067865
  265,  182,1952-03-02,ZI000067865
  286,  154,1952-03-03,ZI000067865
  273,  163,1952-03-04,ZI000067865
  278,  149,1952-03-05,ZI000067865
  288,  154,1952-03-06,ZI000067865
  282,  143,1952-03-07,ZI000067865
  283,  147,1952-03-08,ZI000067865
  286,  119,1952-03-09,ZI000067865
  279,  119,1952-03-10,ZI000067865
  281,  110,1952-03-11,ZI000067865
  279,   90,1952-03-12,ZI000067865
  269,  112,1952-03-13,ZI000067865
  278,  122,1952-03-14,ZI000067865
  281,  146,1952-03-15,ZI000067865
  263,  131,1952-03-16,ZI000067865
  281,  131,1952-03-17,ZI000067865
  266,  122,1952-03-18,ZI000067865
  268,  135,1952-03-19,ZI000067865
  296,  121,1952-03-20,ZI000067865
  299,  113,1952-03-21,ZI000067865
  310,  111,1952-03-22,ZI000067865
  311,  123,1952-03-23,ZI000067865
  308,  114,1952-03-24,ZI000067865
  319,  131,1952-03-25,ZI000067865
  322,  100,1952-03-26,ZI000067865
  301,  116,1952-03-27,ZI000067865
  303,  114,1952-03-28,ZI000067865
  293,  163,1952-03-29,ZI000067865
  288,  147,1952-03-30,ZI000067865
  268,  134,1952-03-31,ZI000067865
  273,  115,1952-04-01,ZI000067865
  289,  107,1952-04-02,ZI000067865
  302,  102,1952-04-03,ZI000067865
  320,  108,1952-04-04,ZI000067865
  314,  141,1952-04-05,ZI000067865
  311,  129,1952-04-06,ZI000067865
  294,  141,1952-04-07,ZI000067865
  296,  111,1952-04-08,ZI000067865
  303,  150,1952-04-09,ZI000067865
  299,  172,1952-04-10,ZI000067865
  292,  154,1952-04-11,ZI000067865
  267,  161,1952-04-12,ZI000067865
  278,  136,1952-04-13,ZI000067865
  280,   96,1952-04-14,ZI000067865
  284,  118,1952-04-15,ZI000067865
  312,  132,1952-04-16,ZI000067865
  312,  129,1952-04-17,ZI000067865
  309,  128,1952-04-18,ZI000067865
  242,  178,1952-04-19,ZI000067865
  225,  148,1952-04-20,ZI000067865
  233,  149,1952-04-21,ZI000067865
  277,  107,1952-04-22,ZI000067865
  264,   96,1952-04-23,ZI000067865
  260,  111,1952-04-24,ZI000067865
  244,   97,1952-04-25,ZI000067865
  249,  100,1952-04-26,ZI000067865
  268,   75,1952-04-27,ZI000067865
  268,  107,1952-04-28,ZI000067865
  277,   83,1952-04-29,ZI000067865
  271,   82,1952-04-30,ZI000067865
  278,   77,1952-05-01,ZI000067865
  288,   78,1952-05-02,ZI000067865
  302,   97,1952-05-03,ZI000067865
  286,   58,1952-05-04,ZI000067865
  283,   57,1952-05-05,ZI000067865
  299,   53,1952-05-06,ZI000067865
  251,  121,1952-05-07,ZI000067865
  199,  131,1952-05-08,ZI000067865
  205,  116,1952-05-09,ZI000067865
  239,   96,1952-05-10,ZI000067865
  257,   78,1952-05-11,ZI000067865
  265,   99,1952-05-12,ZI000067865
  258,   93,1952-05-13,ZI000067865
  249,   36,1952-05-14,ZI000067865
  241,   99,1952-05-15,ZI000067865
  253,   86,1952-05-16,ZI000067865
  262,   66,1952-05-17,ZI000067865
  248,   38,1952-05-18,ZI000067865
  234,   46,1952-05-19,ZI000067865
  238,   67,1952-05-20,ZI000067865
  235,   79,1952-05-21,ZI000067865
  217,   76,1952-05-22,ZI000067865
