TMAX,TMIN,PRCP,DATE,STATION
  286,   31,    0,1962-07-01,ZI000067853
  281,   68,    0,1962-07-02,ZI000067853
  262,   86,    0,1962-07-03,ZI000067853
  252,   32,    0,1962-07-04,ZI000067853
  252,   47,    0,1962-07-05,ZI000067853
  253,   72,    0,1962-07-06,ZI000067853
  265,   62,    0,1962-07-07,ZI000067853
  272,   49,    0,1962-07-08,ZI000067853
  243,   32,    0,1962-07-09,ZI000067853
  236,   72,    0,1962-07-10,ZI000067853
  233,   83,    0,1962-07-11,ZI000067853
  243,   29,    0,1962-07-12,ZI000067853
  239,   34,    0,1962-07-13,ZI000067853
  236,   98,    0,1962-07-14,ZI000067853
  245,   52,    0,1962-07-15,ZI000067853
  239,   57,    0,1962-07-16,ZI000067853
  232,   21,    0,1962-07-17,ZI000067853
  236,   24,    0,1962-07-18,ZI000067853
  247,   61,    0,1962-07-19,ZI000067853
  239,   51,    0,1962-07-20,ZI000067853
  227,   66,    0,1962-07-21,ZI000067853
  242,   31,    0,1962-07-22,ZI000067853
  252,   52,    0,1962-07-23,ZI000067853
  264,   43,    0,1962-07-24,ZI000067853
  285,   49,    0,1962-07-25,ZI000067853
  257,   67,    0,1962-07-26,ZI000067853
  259,   68,    0,1962-07-27,ZI000067853
  269,   52,    0,1962-07-28,ZI000067853
  262,   88,    0,1962-07-29,ZI000067853
  231,   94,    0,1962-07-30,ZI000067853
  228,   34,    0,1962-07-31,ZI000067853
  245,   27,    0,1962-08-01,ZI000067853
  251,   52,    0,1962-08-02,ZI000067853
  263,   73,    0,1962-08-03,ZI000067853
  283,   91,    0,1962-08-04,ZI000067853
  274,   96,    0,1962-08-05,ZI000067853
  260,  132,    0,1962-08-06,ZI000067853
  261,   99,    0,1962-08-07,ZI000067853
  257,   87,    0,1962-08-08,ZI000067853
  254,   84,    0,1962-08-09,ZI000067853
  283,   54,    0,1962-08-10,ZI000067853
  283,   51,    0,1962-08-11,ZI000067853
  284,   95,    0,1962-08-12,ZI000067853
  286,   84,    0,1962-08-13,ZI000067853
  260,   92,    0,1962-08-14,ZI000067853
  264,   72,    0,1962-08-15,ZI000067853
  268,   31,    0,1962-08-16,ZI000067853
  264,   13,    0,1962-08-17,ZI000067853
  268,   43,    0,1962-08-18,ZI000067853
  273,   56,    0,1962-08-19,ZI000067853
  295,   59,    0,1962-08-20,ZI000067853
  304,   74,    0,1962-08-21,ZI000067853
  309,   81,    0,1962-08-22,ZI000067853
  307,  114,    0,1962-08-23,ZI000067853
  311,  117,    0,1962-08-24,ZI000067853
  307,  103,    0,1962-08-25,ZI000067853
  305,  119,    0,1962-08-26,ZI000067853
  256,  136,    0,1962-08-27,ZI000067853
  198,   30,    0,1962-08-28,ZI000067853
  246,   34,    0,1962-08-29,ZI000067853
  269,    6,    0,1962-08-30,ZI000067853
  287,    6,    0,1962-08-31,ZI000067853
  303,   24,    0,1962-09-01,ZI000067853
  313,  126,    0,1962-09-02,ZI000067853
  317,   88,    0,1962-09-03,ZI000067853
  315,   54,    0,1962-09-04,ZI000067853
  303,   71,    0,1962-09-05,ZI000067853
  311,   64,    0,1962-09-06,ZI000067853
  314,   91,    0,1962-09-07,ZI000067853
  314,   69,    0,1962-09-08,ZI000067853
  316,  131,    0,1962-09-09,ZI000067853
  311,   97,    0,1962-09-10,ZI000067853
  309,  164,    0,1962-09-11,ZI000067853
  323,  126,    0,1962-09-12,ZI000067853
  318,  121,    0,1962-09-13,ZI000067853
  324,  123,    0,1962-09-14,ZI000067853
  298,  137,    0,1962-09-15,ZI000067853
  316,  109,    0,1962-09-16,ZI000067853
  297,  122,    0,1962-09-17,ZI000067853
  317,   43,    0,1962-09-18,ZI000067853
  328,   55,    0,1962-09-19,ZI000067853
  326,  132,    0,1962-09-20,ZI000067853
  331,  100,    0,1962-09-21,ZI000067853
  324,  166,    0,1962-09-22,ZI000067853
  331,   84,    0,1962-09-23,ZI000067853
  331,   94,    0,1962-09-24,ZI000067853
  335,   86,    0,1962-09-25,ZI000067853
  333,  114,    0,1962-09-26,ZI000067853
  347,  118,    0,1962-09-27,ZI000067853
  341,  159,    0,1962-09-28,ZI000067853
  322,  183,    0,1962-09-29,ZI000067853
  324,  186,    0,1962-09-30,ZI000067853
  338,  126,    0,1962-10-01,ZI000067853
  340,  130,    0,1962-10-02,ZI000067853
  341,  149,    0,1962-10-03,ZI000067853
  352,  149,    0,1962-10-04,ZI000067853
  336,  173,    0,1962-10-05,ZI000067853
  333,  145,    0,1962-10-06,ZI000067853
  332,  162,    0,1962-10-07,ZI000067853
  347,  172,    0,1962-10-08,ZI000067853
  363,  164,    0,1962-10-09,ZI000067853
  349,  173,    0,1962-10-10,ZI000067853
  313,  141,    0,1962-10-11,ZI000067853
  334,  132,    0,1962-10-12,ZI000067853
  354,  163,    0,1962-10-13,ZI000067853
  365,  142,    0,1962-10-14,ZI000067853
  372,  173,    0,1962-10-15,ZI000067853
  377,  189,    0,1962-10-16,ZI000067853
  388,  152,    0,1962-10-17,ZI000067853
  392,  160,    0,1962-10-18,ZI000067853
