TMAX,TMIN,PRCP,SNWD,DATE,STATION
,,,,1973-01-02,AFM00040938
,,,,1973-01-03,AFM00040938
,,,,1973-01-04,AFM00040938
,,,,1973-01-08,AFM00040938
,,,,1973-01-10,AFM00040938
,,,,1973-01-11,AFM00040938
,,,,1973-01-13,AFM00040938
,,,,1973-01-15,AFM00040938
,,,,1973-01-16,AFM00040938
,,,,1973-01-17,AFM00040938
,,,,1973-01-18,AFM00040938
,,,,1973-01-19,AFM00040938
,,,,1973-01-20,AFM00040938
   40,,,,1973-01-23,AFM00040938
,,,,1973-01-24,AFM00040938
,,,,1973-01-29,AFM00040938
,,,,1973-01-30,AFM00040938
,,,,1973-01-31,AFM00040938
,,,,1973-02-10,AFM00040938
,,,,1973-02-11,AFM00040938
,,,,1973-02-12,AFM00040938
,,,,1973-02-13,AFM00040938
,,,,1973-02-14,AFM00040938
,,,,1973-02-20,AFM00040938
,,,,1973-02-25,AFM00040938
,,,,1973-02-28,AFM00040938
,,,,1973-03-04,AFM00040938
,,,,1973-03-06,AFM00040938
,,,,1973-03-07,AFM00040938
,,,,1973-03-08,AFM00040938
,,,,1973-03-12,AFM00040938
,,,,1973-03-13,AFM00040938
,,,,1973-03-14,AFM00040938
,,,,1973-03-18,AFM00040938
,,,,1973-03-21,AFM00040938
,,,,1973-03-22,AFM00040938
,,,,1973-03-23,AFM00040938
,,,,1973-03-24,AFM00040938
,,,,1973-03-26,AFM00040938
,,,,1973-03-27,AFM00040938
,,,,1973-03-28,AFM00040938
,,,,1973-03-30,AFM00040938
,,,,1973-04-01,AFM00040938
,,,,1973-04-05,AFM00040938
,,,,1973-04-07,AFM00040938
,,,,1973-04-08,AFM00040938
,,,,1973-04-09,AFM00040938
,,,,1973-04-10,AFM00040938
,,,,1973-04-11,AFM00040938
,,,,1973-04-12,AFM00040938
,,,,1973-04-14,AFM00040938
,,,,1973-04-15,AFM00040938
,,,,1973-04-18,AFM00040938
,,,,1973-04-20,AFM00040938
,,,,1973-04-26,AFM00040938
,,,,1973-04-28,AFM00040938
,,,,1973-04-29,AFM00040938
,,,,1973-04-30,AFM00040938
,,,,1973-05-03,AFM00040938
,,,,1973-05-04,AFM00040938
,,,,1973-05-06,AFM00040938
,,,,1973-05-07,AFM00040938
,,,,1973-05-08,AFM00040938
,,,,1973-05-10,AFM00040938
,,,,1973-05-12,AFM00040938
,,,,1973-05-13,AFM00040938
,,,,1973-05-15,AFM00040938
,,,,1973-05-17,AFM00040938
,  110,,,1973-05-21,AFM00040938
,,,,1973-05-27,AFM00040938
,,,,1973-05-29,AFM00040938
,  130,,,1973-05-30,AFM00040938
,,,,1973-05-31,AFM00040938
,  200,,,1973-06-08,AFM00040938
,,,,1973-06-09,AFM00040938
,,,,1973-06-10,AFM00040938
,  200,,,1973-06-11,AFM00040938
,,,,1973-06-12,AFM00040938
,,,,1973-06-13,AFM00040938
,,,,1973-06-14,AFM00040938
,  180,,,1973-06-15,AFM00040938
  410,  220,,,1973-06-17,AFM00040938
  380,  220,,,1973-06-18,AFM00040938
,,,,1973-06-19,AFM00040938
,  200,,,1973-06-21,AFM00040938
,,,,1973-06-22,AFM00040938
,,,,1973-06-24,AFM00040938
,,,,1973-06-25,AFM00040938
,  200,,,1973-06-26,AFM00040938
,  200,,,1973-06-27,AFM00040938
,,,,1973-06-28,AFM00040938
  380,  170,,,1973-06-29,AFM00040938
,,,,1973-07-09,AFM00040938
,,,,1973-07-12,AFM00040938
,  230,,,1973-07-14,AFM00040938
,  230,,,1973-07-15,AFM00040938
,,,,1973-07-16,AFM00040938
,,,,1973-07-21,AFM00040938
,,,,1973-07-22,AFM00040938
,  230,,,1973-07-25,AFM00040938
