PRCP,DATE,STATION
  102,1956-01-01,ZA000067583
  290,1956-01-02,ZA000067583
  168,1956-01-03,ZA000067583
    0,1956-01-04,ZA000067583
  234,1956-01-05,ZA000067583
   23,1956-01-06,ZA000067583
    0,1956-01-07,ZA000067583
  163,1956-01-08,ZA000067583
  145,1956-01-09,ZA000067583
    0,1956-01-10,ZA000067583
  368,1956-01-11,ZA000067583
    0,1956-01-12,ZA000067583
   89,1956-01-13,ZA000067583
   76,1956-01-14,ZA000067583
  114,1956-01-15,ZA000067583
   33,1956-01-16,ZA000067583
   63,1956-01-17,ZA000067583
   25,1956-01-18,ZA000067583
    0,1956-01-19,ZA000067583
   56,1956-01-20,ZA000067583
    0,1956-01-21,ZA000067583
  292,1956-01-22,ZA000067583
    0,1956-01-23,ZA000067583
   25,1956-01-24,ZA000067583
   66,1956-01-25,ZA000067583
  193,1956-01-26,ZA000067583
   38,1956-01-27,ZA000067583
    0,1956-01-28,ZA000067583
    0,1956-01-29,ZA000067583
  203,1956-01-30,ZA000067583
  178,1956-02-01,ZA000067583
  102,1956-02-02,ZA000067583
   25,1956-02-03,ZA000067583
   76,1956-02-04,ZA000067583
   25,1956-02-05,ZA000067583
    0,1956-02-06,ZA000067583
   89,1956-02-07,ZA000067583
    0,1956-02-08,ZA000067583
   25,1956-02-09,ZA000067583
   63,1956-02-10,ZA000067583
   89,1956-02-11,ZA000067583
   25,1956-02-12,ZA000067583
    0,1956-02-13,ZA000067583
    0,1956-02-14,ZA000067583
    0,1956-02-16,ZA000067583
   25,1956-02-17,ZA000067583
    0,1956-02-18,ZA000067583
  305,1956-02-19,ZA000067583
    0,1956-02-20,ZA000067583
   38,1956-02-21,ZA000067583
    0,1956-02-22,ZA000067583
  132,1956-02-23,ZA000067583
   25,1956-02-24,ZA000067583
   38,1956-02-25,ZA000067583
    0,1956-02-26,ZA000067583
   63,1956-02-27,ZA000067583
   25,1956-02-28,ZA000067583
   76,1956-02-29,ZA000067583
   25,1956-03-01,ZA000067583
    0,1956-03-02,ZA000067583
  203,1956-03-03,ZA000067583
   76,1956-03-04,ZA000067583
    0,1956-03-05,ZA000067583
   25,1956-03-06,ZA000067583
  178,1956-03-07,ZA000067583
    0,1956-03-08,ZA000067583
    0,1956-03-09,ZA000067583
  381,1956-03-10,ZA000067583
   63,1956-03-11,ZA000067583
  356,1956-03-12,ZA000067583
    0,1956-03-13,ZA000067583
  470,1956-03-14,ZA000067583
  279,1956-03-15,ZA000067583
    0,1956-03-16,ZA000067583
   25,1956-03-17,ZA000067583
  102,1956-03-18,ZA000067583
   38,1956-03-19,ZA000067583
   76,1956-03-20,ZA000067583
   25,1956-03-21,ZA000067583
   76,1956-03-22,ZA000067583
    0,1956-03-23,ZA000067583
    0,1956-03-24,ZA000067583
  165,1956-03-25,ZA000067583
    0,1956-03-26,ZA000067583
    0,1956-03-27,ZA000067583
    0,1956-03-28,ZA000067583
    0,1956-03-29,ZA000067583
    0,1956-03-30,ZA000067583
    0,1956-04-01,ZA000067583
    0,1956-04-02,ZA000067583
    0,1956-04-03,ZA000067583
    0,1956-04-04,ZA000067583
   25,1956-04-05,ZA000067583
  178,1956-04-06,ZA000067583
  127,1956-04-07,ZA000067583
    0,1956-04-08,ZA000067583
    0,1956-04-09,ZA000067583
    0,1956-04-10,ZA000067583
    0,1956-04-11,ZA000067583
    0,1956-04-12,ZA000067583
    0,1956-04-13,ZA000067583
    0,1956-04-14,ZA000067583
    0,1956-04-15,ZA000067583
    0,1956-04-16,ZA000067583
    0,1956-04-17,ZA000067583
    0,1956-04-18,ZA000067583
    0,1956-04-19,ZA000067583
    0,1956-04-20,ZA000067583
    0,1956-04-21,ZA000067583
    0,1956-04-22,ZA000067583
    0,1956-04-23,ZA000067583
    0,1956-04-24,ZA000067583
    0,1956-04-25,ZA000067583
    0,1956-04-26,ZA000067583
    0,1956-04-27,ZA000067583
    0,1956-04-28,ZA000067583
    0,1956-04-29,ZA000067583
    0,1956-04-30,ZA000067583
    0,1956-05-01,ZA000067583
   69,1956-05-02,ZA000067583
    0,1956-05-03,ZA000067583
    0,1956-05-04,ZA000067583
    0,1956-05-05,ZA000067583
    0,1956-05-06,ZA000067583
    0,1956-05-07,ZA000067583
    0,1956-05-08,ZA000067583
    0,1956-05-09,ZA000067583
    0,1956-05-10,ZA000067583
    0,1956-05-11,ZA000067583
    0,1956-05-12,ZA000067583
    0,1956-05-13,ZA000067583
    0,1956-05-14,ZA000067583
    0,1956-05-15,ZA000067583
    0,1956-05-16,ZA000067583
    0,1956-05-17,ZA000067583
    0,1956-05-18,ZA000067583
    0,1956-05-19,ZA000067583
    0,1956-05-20,ZA000067583
    0,1956-05-21,ZA000067583
    0,1956-05-22,ZA000067583
    0,1956-05-23,ZA000067583
    0,1956-05-24,ZA000067583
    0,1956-05-25,ZA000067583
    0,1956-05-26,ZA000067583
