PRCP,SNOW,SNWD,DATE,STATION
    8,    0,    0,1950-04-01,USC00223610
    3,    0,    0,1950-04-02,USC00223610
    0,    0,    0,1950-04-03,USC00223610
    3,    0,    0,1950-04-04,USC00223610
   48,    0,    0,1950-04-05,USC00223610
    0,    0,    0,1950-04-06,USC00223610
    0,    0,    0,1950-04-07,USC00223610
    0,    0,    0,1950-04-08,USC00223610
    0,    0,    0,1950-04-09,USC00223610
    0,    0,    0,1950-04-10,USC00223610
    5,    0,    0,1950-04-11,USC00223610
    0,    0,    0,1950-04-12,USC00223610
    0,    0,    0,1950-04-13,USC00223610
    0,    0,    0,1950-04-14,USC00223610
    0,    0,    0,1950-04-15,USC00223610
    0,    0,    0,1950-04-16,USC00223610
    3,    0,    0,1950-04-17,USC00223610
  315,    0,    0,1950-04-18,USC00223610
   10,    0,    0,1950-04-19,USC00223610
    0,    0,    0,1950-04-20,USC00223610
    0,    0,    0,1950-04-21,USC00223610
    0,    0,    0,1950-04-22,USC00223610
    0,    0,    0,1950-04-23,USC00223610
    0,    0,    0,1950-04-24,USC00223610
   61,    0,    0,1950-04-25,USC00223610
    0,    0,    0,1950-04-26,USC00223610
    0,    0,    0,1950-04-27,USC00223610
    0,    0,    0,1950-04-28,USC00223610
   66,    0,    0,1950-04-29,USC00223610
  102,    0,    0,1950-04-30,USC00223610
  236,    0,    0,1950-05-01,USC00223610
  330,    0,    0,1950-05-02,USC00223610
    3,    0,    0,1950-05-03,USC00223610
    0,    0,    0,1950-05-04,USC00223610
    0,    0,    0,1950-05-05,USC00223610
    0,    0,    0,1950-05-06,USC00223610
    0,    0,    0,1950-05-07,USC00223610
    0,    0,    0,1950-05-08,USC00223610
    0,    0,    0,1950-05-09,USC00223610
    0,    0,    0,1950-05-10,USC00223610
    0,    0,    0,1950-05-11,USC00223610
    8,    0,    0,1950-05-12,USC00223610
    0,    0,    0,1950-05-13,USC00223610
  206,    0,    0,1950-05-14,USC00223610
    0,    0,    0,1950-05-15,USC00223610
    5,    0,    0,1950-05-16,USC00223610
    0,    0,    0,1950-05-17,USC00223610
    0,    0,    0,1950-05-18,USC00223610
    0,    0,    0,1950-05-19,USC00223610
   18,    0,    0,1950-05-20,USC00223610
    0,    0,    0,1950-05-21,USC00223610
    0,    0,    0,1950-05-22,USC00223610
    0,    0,    0,1950-05-23,USC00223610
    0,    0,    0,1950-05-24,USC00223610
    0,    0,    0,1950-05-25,USC00223610
    0,    0,    0,1950-05-26,USC00223610
    0,    0,    0,1950-05-27,USC00223610
   18,    0,    0,1950-05-28,USC00223610
    5,    0,    0,1950-05-29,USC00223610
   18,    0,    0,1950-05-30,USC00223610
    0,    0,    0,1950-05-31,USC00223610
    0,    0,    0,1950-06-01,USC00223610
   61,    0,    0,1950-06-02,USC00223610
  356,    0,    0,1950-06-03,USC00223610
   71,    0,    0,1950-06-04,USC00223610
    0,    0,    0,1950-06-05,USC00223610
   13,    0,    0,1950-06-06,USC00223610
    0,    0,    0,1950-06-07,USC00223610
   10,    0,    0,1950-06-08,USC00223610
    8,    0,    0,1950-06-09,USC00223610
    0,    0,    0,1950-06-10,USC00223610
   10,    0,    0,1950-06-11,USC00223610
    0,    0,    0,1950-06-12,USC00223610
    0,    0,    0,1950-06-13,USC00223610
    0,    0,    0,1950-06-14,USC00223610
    0,    0,    0,1950-06-15,USC00223610
    0,    0,    0,1950-06-16,USC00223610
    0,    0,    0,1950-06-17,USC00223610
    0,    0,    0,1950-06-18,USC00223610
    0,    0,    0,1950-06-19,USC00223610
    0,    0,    0,1950-06-20,USC00223610
   28,    0,    0,1950-06-21,USC00223610
   61,    0,    0,1950-06-22,USC00223610
    3,    0,    0,1950-06-23,USC00223610
    0,    0,    0,1950-06-24,USC00223610
    0,    0,    0,1950-06-25,USC00223610
    0,    0,    0,1950-06-26,USC00223610
    0,    0,    0,1950-06-27,USC00223610
    0,    0,    0,1950-06-28,USC00223610
    0,    0,    0,1950-06-29,USC00223610
    0,    0,    0,1950-06-30,USC00223610
    0,    0,    0,1950-07-01,USC00223610
    0,    0,    0,1950-07-02,USC00223610
    0,    0,    0,1950-07-03,USC00223610
    0,    0,    0,1950-07-04,USC00223610
