PRCP,DATE,STATION
    0,1977-07-07,AJ000037605
    0,1977-07-08,AJ000037605
    0,1977-07-09,AJ000037605
    0,1977-07-10,AJ000037605
    0,1977-07-11,AJ000037605
    0,1977-07-12,AJ000037605
    0,1977-07-13,AJ000037605
    0,1977-07-14,AJ000037605
    8,1977-07-15,AJ000037605
    0,1977-07-16,AJ000037605
    0,1977-07-17,AJ000037605
    0,1977-07-18,AJ000037605
   11,1977-07-19,AJ000037605
   25,1977-07-20,AJ000037605
   96,1977-07-21,AJ000037605
    0,1977-07-22,AJ000037605
    0,1977-07-23,AJ000037605
   41,1977-07-24,AJ000037605
    0,1977-07-25,AJ000037605
   31,1977-07-26,AJ000037605
  100,1977-07-27,AJ000037605
    0,1977-07-28,AJ000037605
   33,1977-07-29,AJ000037605
  130,1977-07-30,AJ000037605
    0,1977-07-31,AJ000037605
    0,1977-08-01,AJ000037605
    0,1977-08-02,AJ000037605
    0,1977-08-03,AJ000037605
    0,1977-08-04,AJ000037605
    0,1977-08-05,AJ000037605
    0,1977-08-06,AJ000037605
    0,1977-08-07,AJ000037605
  247,1977-08-08,AJ000037605
   20,1977-08-09,AJ000037605
    0,1977-08-10,AJ000037605
    5,1977-08-11,AJ000037605
    0,1977-08-12,AJ000037605
    0,1977-08-13,AJ000037605
   32,1977-08-14,AJ000037605
    0,1977-08-15,AJ000037605
    0,1977-08-16,AJ000037605
   15,1977-08-17,AJ000037605
   85,1977-08-18,AJ000037605
    0,1977-08-19,AJ000037605
    0,1977-08-20,AJ000037605
    0,1977-08-21,AJ000037605
    0,1977-08-22,AJ000037605
    0,1977-08-23,AJ000037605
    0,1977-08-24,AJ000037605
    0,1977-08-25,AJ000037605
    0,1977-08-26,AJ000037605
    0,1977-08-27,AJ000037605
    0,1977-08-28,AJ000037605
    0,1977-08-29,AJ000037605
    0,1977-08-30,AJ000037605
  228,1977-08-31,AJ000037605
  228,1977-09-01,AJ000037605
    0,1977-09-02,AJ000037605
    0,1977-09-03,AJ000037605
    0,1977-09-04,AJ000037605
    0,1977-09-05,AJ000037605
    0,1977-09-06,AJ000037605
   94,1977-09-07,AJ000037605
   90,1977-09-08,AJ000037605
   11,1977-09-09,AJ000037605
   47,1977-09-10,AJ000037605
    4,1977-09-11,AJ000037605
   39,1977-09-12,AJ000037605
    0,1977-09-13,AJ000037605
    0,1977-09-14,AJ000037605
   49,1977-09-15,AJ000037605
    0,1977-09-16,AJ000037605
    0,1977-09-17,AJ000037605
    0,1977-09-18,AJ000037605
    0,1977-09-19,AJ000037605
    0,1977-09-20,AJ000037605
    0,1977-09-21,AJ000037605
    0,1977-09-22,AJ000037605
    0,1977-09-23,AJ000037605
    0,1977-09-24,AJ000037605
    0,1977-09-25,AJ000037605
    0,1977-09-26,AJ000037605
   51,1977-09-27,AJ000037605
    9,1977-09-28,AJ000037605
    0,1977-09-29,AJ000037605
    0,1977-09-30,AJ000037605
    0,1977-10-01,AJ000037605
    4,1977-10-02,AJ000037605
    0,1977-10-03,AJ000037605
    0,1977-10-04,AJ000037605
   27,1977-10-05,AJ000037605
    0,1977-10-06,AJ000037605
    0,1977-10-07,AJ000037605
    0,1977-10-08,AJ000037605
    0,1977-10-09,AJ000037605
   91,1977-10-10,AJ000037605
    9,1977-10-11,AJ000037605
    0,1977-10-12,AJ000037605
    0,1977-10-13,AJ000037605
    0,1977-10-14,AJ000037605
    0,1977-10-15,AJ000037605
   24,1977-10-16,AJ000037605
  211,1977-10-17,AJ000037605
   73,1977-10-18,AJ000037605
    0,1977-10-19,AJ000037605
    0,1977-10-20,AJ000037605
    2,1977-10-21,AJ000037605
   16,1977-10-22,AJ000037605
    0,1977-10-23,AJ000037605
    0,1977-10-24,AJ000037605
    0,1977-10-25,AJ000037605
    0,1977-10-26,AJ000037605
    0,1977-10-27,AJ000037605
    0,1977-10-28,AJ000037605
    3,1977-10-29,AJ000037605
    0,1977-10-30,AJ000037605
    0,1977-10-31,AJ000037605
    0,1977-11-01,AJ000037605
    0,1977-11-02,AJ000037605
    0,1977-11-03,AJ000037605
    0,1977-11-04,AJ000037605
    0,1977-11-05,AJ000037605
    3,1977-11-06,AJ000037605
    1,1977-11-07,AJ000037605
    7,1977-11-08,AJ000037605
    5,1977-11-09,AJ000037605
    0,1977-11-10,AJ000037605
   53,1977-11-11,AJ000037605
   37,1977-11-12,AJ000037605
    0,1977-11-13,AJ000037605
    0,1977-11-14,AJ000037605
    0,1977-11-15,AJ000037605
    0,1977-11-16,AJ000037605
    0,1977-11-17,AJ000037605
    0,1977-11-18,AJ000037605
    0,1977-11-19,AJ000037605
    0,1977-11-20,AJ000037605
    0,1977-11-21,AJ000037605
    0,1977-11-22,AJ000037605
    2,1977-11-23,AJ000037605
    0,1977-11-24,AJ000037605
   33,1977-11-25,AJ000037605
   71,1977-11-26,AJ000037605
    0,1977-11-27,AJ000037605
    0,1977-11-28,AJ000037605
    0,1977-11-29,AJ000037605
    6,1977-11-30,AJ000037605
    2,1977-12-01,AJ000037605
    0,1977-12-02,AJ000037605
    0,1977-12-03,AJ000037605
    0,1977-12-04,AJ000037605
   60,1977-12-05,AJ000037605
   53,1977-12-06,AJ000037605
    0,1977-12-07,AJ000037605
