PRCP,SNOW,DATE,STATION
    0,    0,2010-09-03,US1KYSC0013
    0,    0,2010-09-04,US1KYSC0013
    0,    0,2010-09-06,US1KYSC0013
    0,    0,2010-09-07,US1KYSC0013
   25,,2010-09-08,US1KYSC0013
    0,    0,2010-09-09,US1KYSC0013
    0,    0,2010-09-10,US1KYSC0013
    0,    0,2010-09-11,US1KYSC0013
   36,,2010-09-12,US1KYSC0013
    0,    0,2010-09-13,US1KYSC0013
    0,    0,2010-09-14,US1KYSC0013
    0,    0,2010-09-15,US1KYSC0013
    0,    0,2010-09-16,US1KYSC0013
   20,,2010-09-17,US1KYSC0013
    0,    0,2010-09-18,US1KYSC0013
    0,    0,2010-09-19,US1KYSC0013
    0,    0,2010-09-20,US1KYSC0013
    0,    0,2010-09-21,US1KYSC0013
    0,    0,2010-09-22,US1KYSC0013
    0,    0,2010-09-23,US1KYSC0013
    0,    0,2010-09-24,US1KYSC0013
   56,,2010-09-25,US1KYSC0013
    0,    0,2010-09-27,US1KYSC0013
    5,,2010-09-28,US1KYSC0013
    0,    0,2010-09-29,US1KYSC0013
    0,    0,2010-09-30,US1KYSC0013
    0,    0,2010-10-01,US1KYSC0013
    0,    0,2010-10-02,US1KYSC0013
   10,,2010-10-03,US1KYSC0013
    0,    0,2010-10-04,US1KYSC0013
    0,    0,2010-10-05,US1KYSC0013
    0,    0,2010-10-06,US1KYSC0013
    0,    0,2010-10-08,US1KYSC0013
    0,    0,2010-10-09,US1KYSC0013
    0,    0,2010-10-10,US1KYSC0013
    0,    0,2010-10-11,US1KYSC0013
    0,    0,2010-10-12,US1KYSC0013
    0,    0,2010-10-13,US1KYSC0013
   74,,2010-10-14,US1KYSC0013
    0,    0,2010-10-15,US1KYSC0013
    0,    0,2010-10-16,US1KYSC0013
    0,    0,2010-10-17,US1KYSC0013
    0,    0,2010-10-18,US1KYSC0013
    0,    0,2010-10-19,US1KYSC0013
    0,    0,2010-10-20,US1KYSC0013
    0,    0,2010-10-21,US1KYSC0013
    0,    0,2010-10-22,US1KYSC0013
    0,    0,2010-10-23,US1KYSC0013
    0,    0,2010-10-24,US1KYSC0013
    0,,2010-10-25,US1KYSC0013
    0,,2010-10-26,US1KYSC0013
  249,,2010-10-27,US1KYSC0013
    0,    0,2010-10-28,US1KYSC0013
    0,    0,2010-10-29,US1KYSC0013
    0,    0,2010-10-30,US1KYSC0013
    0,    0,2010-10-31,US1KYSC0013
    0,    0,2010-11-01,US1KYSC0013
    0,    0,2010-11-02,US1KYSC0013
    0,    0,2010-11-03,US1KYSC0013
    0,,2010-11-04,US1KYSC0013
    5,,2010-11-05,US1KYSC0013
    5,,2010-11-06,US1KYSC0013
    0,    0,2010-11-07,US1KYSC0013
    0,    0,2010-11-08,US1KYSC0013
    0,    0,2010-11-09,US1KYSC0013
    0,    0,2010-11-10,US1KYSC0013
    0,    0,2010-11-12,US1KYSC0013
    0,    0,2010-11-13,US1KYSC0013
    5,,2010-11-14,US1KYSC0013
    0,    0,2010-11-15,US1KYSC0013
    0,,2010-11-16,US1KYSC0013
  165,,2010-11-17,US1KYSC0013
   23,,2010-11-18,US1KYSC0013
   15,,2010-11-19,US1KYSC0013
    0,    0,2010-11-20,US1KYSC0013
    0,    0,2010-11-21,US1KYSC0013
    0,    0,2010-11-22,US1KYSC0013
  170,,2010-11-23,US1KYSC0013
    0,    0,2010-11-24,US1KYSC0013
   76,,2010-11-25,US1KYSC0013
  432,,2010-11-26,US1KYSC0013
    0,    0,2010-11-27,US1KYSC0013
    0,    0,2010-11-28,US1KYSC0013
  150,,2010-11-30,US1KYSC0013
  178,,2010-12-01,US1KYSC0013
    0,,2010-12-02,US1KYSC0013
    0,,2010-12-03,US1KYSC0013
    8,,2010-12-04,US1KYSC0013
   58,,2010-12-05,US1KYSC0013
    0,    0,2010-12-08,US1KYSC0013
    0,    0,2010-12-09,US1KYSC0013
    0,    0,2010-12-10,US1KYSC0013
    0,    0,2010-12-11,US1KYSC0013
   94,,2010-12-12,US1KYSC0013
   46,,2010-12-13,US1KYSC0013
    0,,2010-12-14,US1KYSC0013
    0,    0,2010-12-15,US1KYSC0013
  119,,2010-12-16,US1KYSC0013
   10,,2010-12-17,US1KYSC0013
    0,,2010-12-18,US1KYSC0013
    0,    0,2010-12-19,US1KYSC0013
    0,    0,2010-12-20,US1KYSC0013
   53,,2010-12-21,US1KYSC0013
    0,    0,2010-12-22,US1KYSC0013
    0,    0,2010-12-23,US1KYSC0013
    0,    0,2010-12-24,US1KYSC0013
   36,,2010-12-25,US1KYSC0013
    3,,2010-12-26,US1KYSC0013
    8,,2010-12-27,US1KYSC0013
    0,    0,2010-12-28,US1KYSC0013
    0,    0,2010-12-29,US1KYSC0013
   89,,2010-12-30,US1KYSC0013
    3,,2010-12-31,US1KYSC0013
   53,,2011-01-01,US1KYSC0013
   28,,2011-01-02,US1KYSC0013
    0,    0,2011-01-03,US1KYSC0013
    0,    0,2011-01-04,US1KYSC0013
    0,    0,2011-01-05,US1KYSC0013
    0,    0,2011-01-06,US1KYSC0013
    0,,2011-01-07,US1KYSC0013
    8,,2011-01-08,US1KYSC0013
    0,,2011-01-09,US1KYSC0013
    0,    0,2011-01-10,US1KYSC0013
    0,,2011-01-11,US1KYSC0013
   30,,2011-01-12,US1KYSC0013
    0,,2011-01-13,US1KYSC0013
    0,    0,2011-01-14,US1KYSC0013
    0,    0,2011-01-15,US1KYSC0013
    0,    0,2011-01-16,US1KYSC0013
    0,    0,2011-01-17,US1KYSC0013
   41,,2011-01-18,US1KYSC0013
   81,,2011-01-19,US1KYSC0013
    0,,2011-01-20,US1KYSC0013
   46,,2011-01-21,US1KYSC0013
    0,    0,2011-01-22,US1KYSC0013
    0,    0,2011-01-23,US1KYSC0013
    5,,2011-01-24,US1KYSC0013
    8,,2011-01-25,US1KYSC0013
   56,,2011-01-26,US1KYSC0013
    0,,2011-01-27,US1KYSC0013
   13,,2011-01-28,US1KYSC0013
    0,    0,2011-01-29,US1KYSC0013
    0,    0,2011-01-30,US1KYSC0013
    0,    0,2011-01-31,US1KYSC0013
   18,,2011-02-01,US1KYSC0013
  257,,2011-02-02,US1KYSC0013
    0,,2011-02-03,US1KYSC0013
    0,    0,2011-02-04,US1KYSC0013
   56,,2011-02-05,US1KYSC0013
   10,,2011-02-06,US1KYSC0013
    3,,2011-02-07,US1KYSC0013
  117,,2011-02-08,US1KYSC0013
    0,    0,2011-02-09,US1KYSC0013
    0,,2011-02-10,US1KYSC0013
    0,    0,2011-02-11,US1KYSC0013
    0,    0,2011-02-12,US1KYSC0013
    0,    0,2011-02-13,US1KYSC0013
    0,    0,2011-02-14,US1KYSC0013
    0,    0,2011-02-15,US1KYSC0013
    0,    0,2011-02-16,US1KYSC0013
