PRCP,SNOW,DATE,STATION
  226,,2019-03-31,US1KYSH0012
    0,    0,2019-04-01,US1KYSH0012
    0,    0,2019-04-02,US1KYSH0012
    0,    0,2019-04-03,US1KYSH0012
    0,    0,2019-04-04,US1KYSH0012
   71,,2019-04-05,US1KYSH0012
   15,,2019-04-06,US1KYSH0012
   41,,2019-04-07,US1KYSH0012
  114,,2019-04-08,US1KYSH0012
    8,,2019-04-09,US1KYSH0012
    0,    0,2019-04-10,US1KYSH0012
    0,    0,2019-04-11,US1KYSH0012
    0,,2019-04-12,US1KYSH0012
    5,,2019-04-13,US1KYSH0012
  262,,2019-04-14,US1KYSH0012
   13,,2019-04-15,US1KYSH0012
    0,    0,2019-04-16,US1KYSH0012
    0,    0,2019-04-17,US1KYSH0012
    0,    0,2019-04-18,US1KYSH0012
  140,,2019-04-19,US1KYSH0012
,,2019-04-21,US1KYSH0012
    0,    0,2019-04-22,US1KYSH0012
    0,    0,2019-04-23,US1KYSH0012
   51,,2019-04-24,US1KYSH0012
  114,,2019-04-25,US1KYSH0012
  229,,2019-04-26,US1KYSH0012
    0,,2019-04-27,US1KYSH0012
   43,,2019-04-28,US1KYSH0012
    0,    0,2019-04-29,US1KYSH0012
    0,    0,2019-04-30,US1KYSH0012
    0,    0,2019-05-01,US1KYSH0012
   18,,2019-05-02,US1KYSH0012
  152,,2019-05-03,US1KYSH0012
  109,,2019-05-04,US1KYSH0012
  216,,2019-05-05,US1KYSH0012
    0,    0,2019-05-06,US1KYSH0012
    0,    0,2019-05-07,US1KYSH0012
    0,    0,2019-05-08,US1KYSH0012
    0,    0,2019-05-09,US1KYSH0012
  119,,2019-05-10,US1KYSH0012
    3,,2019-05-11,US1KYSH0012
   30,,2019-05-12,US1KYSH0012
    5,,2019-05-13,US1KYSH0012
    0,    0,2019-05-14,US1KYSH0012
    0,    0,2019-05-15,US1KYSH0012
    0,    0,2019-05-16,US1KYSH0012
  104,,2019-05-17,US1KYSH0012
    0,    0,2019-05-18,US1KYSH0012
    0,    0,2019-05-19,US1KYSH0012
   69,,2019-05-20,US1KYSH0012
    0,    0,2019-05-21,US1KYSH0012
    0,    0,2019-05-22,US1KYSH0012
    0,    0,2019-05-23,US1KYSH0012
  178,,2019-05-24,US1KYSH0012
    0,    0,2019-05-25,US1KYSH0012
    0,    0,2019-05-26,US1KYSH0012
  218,,2019-05-27,US1KYSH0012
    0,    0,2019-05-28,US1KYSH0012
    0,    0,2019-05-29,US1KYSH0012
  277,,2019-05-30,US1KYSH0012
   84,    0,2019-05-31,US1KYSH0012
   25,,2019-06-01,US1KYSH0012
    0,    0,2019-06-02,US1KYSH0012
    0,    0,2019-06-03,US1KYSH0012
    0,    0,2019-06-04,US1KYSH0012
   15,,2019-06-05,US1KYSH0012
  127,,2019-06-06,US1KYSH0012
  147,,2019-06-07,US1KYSH0012
  150,,2019-06-08,US1KYSH0012
   51,,2019-06-09,US1KYSH0012
  203,,2019-06-10,US1KYSH0012
    8,,2019-06-11,US1KYSH0012
    0,    0,2019-06-12,US1KYSH0012
    0,,2019-06-13,US1KYSH0012
    0,    0,2019-06-14,US1KYSH0012
    0,    0,2019-06-15,US1KYSH0012
   79,,2019-06-16,US1KYSH0012
,,2019-06-21,US1KYSH0012
,,2019-06-23,US1KYSH0012
   61,,2019-06-24,US1KYSH0012
  117,,2019-06-25,US1KYSH0012
    0,    0,2019-06-26,US1KYSH0012
    0,    0,2019-06-27,US1KYSH0012
    0,    0,2019-06-28,US1KYSH0012
    0,    0,2019-06-29,US1KYSH0012
    0,    0,2019-06-30,US1KYSH0012
    8,,2019-07-01,US1KYSH0012
    0,    0,2019-07-02,US1KYSH0012
    8,,2019-07-03,US1KYSH0012
   94,,2019-07-04,US1KYSH0012
    0,    0,2019-07-05,US1KYSH0012
    0,    0,2019-07-06,US1KYSH0012
    0,    0,2019-07-07,US1KYSH0012
    0,    0,2019-07-08,US1KYSH0012
    0,    0,2019-07-09,US1KYSH0012
    0,    0,2019-07-10,US1KYSH0012
    0,    0,2019-07-11,US1KYSH0012
    0,    0,2019-07-12,US1KYSH0012
    0,    0,2019-07-13,US1KYSH0012
    0,    0,2019-07-14,US1KYSH0012
    0,    0,2019-07-15,US1KYSH0012
    0,    0,2019-07-16,US1KYSH0012
    0,    0,2019-07-17,US1KYSH0012
   51,,2019-07-18,US1KYSH0012
    0,    0,2019-07-19,US1KYSH0012
    0,    0,2019-07-20,US1KYSH0012
    0,    0,2019-07-21,US1KYSH0012
   36,,2019-07-22,US1KYSH0012
   33,,2019-07-23,US1KYSH0012
    0,    0,2019-07-24,US1KYSH0012
    0,    0,2019-07-25,US1KYSH0012
    0,    0,2019-07-26,US1KYSH0012
    0,    0,2019-07-27,US1KYSH0012
    0,    0,2019-07-28,US1KYSH0012
    0,    0,2019-07-29,US1KYSH0012
   97,,2019-07-30,US1KYSH0012
   74,,2019-07-31,US1KYSH0012
    3,,2019-08-01,US1KYSH0012
    0,    0,2019-08-02,US1KYSH0012
    0,    0,2019-08-03,US1KYSH0012
    0,    0,2019-08-04,US1KYSH0012
    0,    0,2019-08-05,US1KYSH0012
    0,    0,2019-08-06,US1KYSH0012
  152,,2019-08-07,US1KYSH0012
    0,    0,2019-08-08,US1KYSH0012
    0,    0,2019-08-09,US1KYSH0012
    0,    0,2019-08-10,US1KYSH0012
    0,    0,2019-08-11,US1KYSH0012
    0,    0,2019-08-12,US1KYSH0012
    5,,2019-08-13,US1KYSH0012
   89,,2019-08-14,US1KYSH0012
    0,    0,2019-08-15,US1KYSH0012
    0,    0,2019-08-16,US1KYSH0012
    0,    0,2019-08-17,US1KYSH0012
    0,    0,2019-08-18,US1KYSH0012
    0,    0,2019-08-19,US1KYSH0012
    0,    0,2019-08-20,US1KYSH0012
  137,,2019-08-21,US1KYSH0012
  206,,2019-08-22,US1KYSH0012
    3,,2019-08-23,US1KYSH0012
   20,,2019-08-24,US1KYSH0012
   48,,2019-08-26,US1KYSH0012
  180,,2019-08-27,US1KYSH0012
   18,,2019-08-28,US1KYSH0012
    0,    0,2019-08-29,US1KYSH0012
    0,    0,2019-08-30,US1KYSH0012
    0,    0,2019-08-31,US1KYSH0012
    0,    0,2019-09-01,US1KYSH0012
    0,    0,2019-09-02,US1KYSH0012
    0,    0,2019-09-03,US1KYSH0012
    0,    0,2019-09-04,US1KYSH0012
    0,    0,2019-09-05,US1KYSH0012
    0,    0,2019-09-06,US1KYSH0012
    0,    0,2019-09-07,US1KYSH0012
    0,    0,2019-09-08,US1KYSH0012
    0,    0,2019-09-09,US1KYSH0012
    0,    0,2019-09-10,US1KYSH0012
    0,    0,2019-09-11,US1KYSH0012
    0,    0,2019-09-12,US1KYSH0012
    0,    0,2019-09-13,US1KYSH0012
    0,    0,2019-09-14,US1KYSH0012
    0,    0,2019-09-15,US1KYSH0012
    0,    0,2019-09-16,US1KYSH0012
    0,    0,2019-09-17,US1KYSH0012
    0,    0,2019-09-18,US1KYSH0012
    0,    0,2019-09-19,US1KYSH0012
    0,    0,2019-09-20,US1KYSH0012
    5,,2019-09-21,US1KYSH0012
    0,    0,2019-09-22,US1KYSH0012
    8,,2019-09-23,US1KYSH0012
    3,,2019-09-24,US1KYSH0012
    0,    0,2019-09-25,US1KYSH0012
    0,    0,2019-09-26,US1KYSH0012
    0,    0,2019-09-27,US1KYSH0012
    0,    0,2019-09-28,US1KYSH0012
    0,    0,2019-09-29,US1KYSH0012
    0,    0,2019-09-30,US1KYSH0012
    0,    0,2019-10-01,US1KYSH0012
    0,    0,2019-10-02,US1KYSH0012
    0,    0,2019-10-03,US1KYSH0012
    0,    0,2019-10-04,US1KYSH0012
    0,    0,2019-10-05,US1KYSH0012
   41,,2019-10-06,US1KYSH0012
  526,,2019-10-07,US1KYSH0012
   23,,2019-10-08,US1KYSH0012
    0,    0,2019-10-09,US1KYSH0012
    0,    0,2019-10-10,US1KYSH0012
    0,    0,2019-10-11,US1KYSH0012
   43,,2019-10-12,US1KYSH0012
    0,    0,2019-10-13,US1KYSH0012
    0,    0,2019-10-14,US1KYSH0012
    0,    0,2019-10-15,US1KYSH0012
  183,,2019-10-16,US1KYSH0012
    8,,2019-10-17,US1KYSH0012
    0,    0,2019-10-18,US1KYSH0012
    0,    0,2019-10-19,US1KYSH0012
    3,,2019-10-20,US1KYSH0012
    0,    0,2019-10-21,US1KYSH0012
,,2019-10-24,US1KYSH0012
    0,    0,2019-10-25,US1KYSH0012
  124,,2019-10-26,US1KYSH0012
  114,,2019-10-27,US1KYSH0012
    0,    0,2019-10-28,US1KYSH0012
    0,    0,2019-10-29,US1KYSH0012
    0,    0,2019-10-30,US1KYSH0012
  389,,2019-10-31,US1KYSH0012
  211,,2019-11-01,US1KYSH0012
    0,    0,2019-11-02,US1KYSH0012
    0,    0,2019-11-03,US1KYSH0012
    0,    0,2019-11-04,US1KYSH0012
    0,    0,2019-11-05,US1KYSH0012
    0,    0,2019-11-06,US1KYSH0012
   36,,2019-11-07,US1KYSH0012
  137,,2019-11-08,US1KYSH0012
    0,    0,2019-11-09,US1KYSH0012
    0,    0,2019-11-10,US1KYSH0012
    0,    0,2019-11-11,US1KYSH0012
   38,,2019-11-12,US1KYSH0012
    0,    0,2019-11-13,US1KYSH0012
    0,    0,2019-11-14,US1KYSH0012
    0,    0,2019-11-15,US1KYSH0012
    0,    0,2019-11-16,US1KYSH0012
    0,    0,2019-11-17,US1KYSH0012
    0,,2019-11-18,US1KYSH0012
    0,,2019-11-19,US1KYSH0012
   33,,2019-11-20,US1KYSH0012
    0,,2019-11-21,US1KYSH0012
    0,    0,2019-11-25,US1KYSH0012
    0,    0,2019-11-26,US1KYSH0012
