PRCP,SNOW,DATE,STATION
   71,,2010-03-22,US1KYSC0011
   25,,2010-03-23,US1KYSC0011
    0,    0,2010-03-24,US1KYSC0011
    0,    0,2010-03-25,US1KYSC0011
   74,,2010-03-26,US1KYSC0011
    8,,2010-03-28,US1KYSC0011
   58,,2010-03-29,US1KYSC0011
    8,,2010-04-04,US1KYSC0011
    0,,2010-04-06,US1KYSC0011
    0,    0,2010-04-07,US1KYSC0011
   36,,2010-04-08,US1KYSC0011
   25,,2010-04-09,US1KYSC0011
    0,    0,2010-04-10,US1KYSC0011
    0,    0,2010-04-11,US1KYSC0011
    0,    0,2010-04-12,US1KYSC0011
    0,    0,2010-04-13,US1KYSC0011
    0,    0,2010-04-15,US1KYSC0011
    0,    0,2010-04-16,US1KYSC0011
   81,,2010-04-17,US1KYSC0011
    0,    0,2010-04-18,US1KYSC0011
    0,    0,2010-04-19,US1KYSC0011
    0,    0,2010-04-22,US1KYSC0011
    8,,2010-04-23,US1KYSC0011
   51,,2010-04-24,US1KYSC0011
  206,,2010-04-25,US1KYSC0011
   28,,2010-04-26,US1KYSC0011
   89,,2010-04-27,US1KYSC0011
   64,,2010-04-28,US1KYSC0011
  325,,2010-05-01,US1KYSC0011
  635,,2010-05-02,US1KYSC0011
  620,,2010-05-03,US1KYSC0011
    0,    0,2010-05-05,US1KYSC0011
   25,,2010-05-08,US1KYSC0011
    0,    0,2010-05-09,US1KYSC0011
    8,,2010-05-18,US1KYSC0011
    0,    0,2010-05-19,US1KYSC0011
    0,    0,2010-05-20,US1KYSC0011
   51,,2010-05-21,US1KYSC0011
  305,,2010-05-22,US1KYSC0011
    0,    0,2010-05-30,US1KYSC0011
    0,    0,2010-05-31,US1KYSC0011
    0,    0,2010-06-01,US1KYSC0011
   99,,2010-06-03,US1KYSC0011
  163,,2010-06-14,US1KYSC0011
   18,,2010-06-15,US1KYSC0011
    0,    0,2010-06-17,US1KYSC0011
  208,,2010-06-22,US1KYSC0011
   13,,2010-06-25,US1KYSC0011
    0,    0,2010-06-26,US1KYSC0011
    0,    0,2010-06-27,US1KYSC0011
  130,,2010-06-28,US1KYSC0011
    0,    0,2010-07-01,US1KYSC0011
    0,    0,2010-07-02,US1KYSC0011
    0,    0,2010-07-03,US1KYSC0011
    0,    0,2010-07-04,US1KYSC0011
    0,    0,2010-07-05,US1KYSC0011
    0,    0,2010-07-06,US1KYSC0011
    0,    0,2010-07-07,US1KYSC0011
    0,    0,2010-07-08,US1KYSC0011
  203,,2010-07-10,US1KYSC0011
    0,    0,2010-07-11,US1KYSC0011
   51,,2010-07-12,US1KYSC0011
  483,,2010-07-14,US1KYSC0011
   23,,2010-07-20,US1KYSC0011
  259,,2010-07-21,US1KYSC0011
   25,,2010-07-22,US1KYSC0011
    0,    0,2010-07-23,US1KYSC0011
   20,,2010-07-27,US1KYSC0011
    8,,2010-07-31,US1KYSC0011
   20,,2010-08-12,US1KYSC0011
    0,    0,2010-08-13,US1KYSC0011
  173,,2010-08-15,US1KYSC0011
   18,,2010-08-16,US1KYSC0011
    0,    0,2010-08-17,US1KYSC0011
    0,,2010-08-18,US1KYSC0011
   84,,2010-08-22,US1KYSC0011
   23,,2010-09-12,US1KYSC0011
   18,,2010-09-17,US1KYSC0011
    0,    0,2010-09-20,US1KYSC0011
   76,,2010-10-14,US1KYSC0011
    8,,2010-11-16,US1KYSC0011
  173,,2010-11-17,US1KYSC0011
  193,,2010-11-23,US1KYSC0011
  495,,2010-11-30,US1KYSC0011
   64,,2011-03-14,US1KYSC0011
   33,,2011-03-15,US1KYSC0011
   99,,2011-04-10,US1KYSC0011
  785,,2011-04-12,US1KYSC0011
  114,,2011-04-13,US1KYSC0011
   51,,2011-04-19,US1KYSC0011
  132,,2011-04-20,US1KYSC0011
  389,,2011-04-23,US1KYSC0011
  193,,2011-04-25,US1KYSC0011
  658,,2011-05-03,US1KYSC0011
   71,,2011-05-22,US1KYSC0011
  152,,2011-05-23,US1KYSC0011
  112,,2011-05-26,US1KYSC0011
  168,,2011-07-18,US1KYSC0011
    0,,2011-07-26,US1KYSC0011
  335,,2011-08-04,US1KYSC0011
  605,,2011-09-05,US1KYSC0011
