PRCP,SNOW,DATE,STATION
    0,    0,2014-09-24,US1KYSC0020
    0,    0,2014-09-25,US1KYSC0020
    0,,2014-09-26,US1KYSC0020
    0,,2014-09-27,US1KYSC0020
    0,,2014-09-28,US1KYSC0020
    0,,2014-09-29,US1KYSC0020
    0,,2014-09-30,US1KYSC0020
    0,,2014-10-02,US1KYSC0020
   43,,2014-10-03,US1KYSC0020
   38,,2014-10-04,US1KYSC0020
    0,,2014-10-05,US1KYSC0020
    0,,2014-10-06,US1KYSC0020
   46,,2014-10-07,US1KYSC0020
  396,,2014-10-08,US1KYSC0020
    0,,2014-10-09,US1KYSC0020
  140,,2014-10-10,US1KYSC0020
   64,,2014-10-11,US1KYSC0020
    3,,2014-10-12,US1KYSC0020
   25,,2014-10-13,US1KYSC0020
  150,,2014-10-14,US1KYSC0020
  147,,2014-10-15,US1KYSC0020
   84,,2014-10-16,US1KYSC0020
   18,,2014-10-17,US1KYSC0020
    0,,2014-10-18,US1KYSC0020
    0,,2014-10-20,US1KYSC0020
   10,,2014-10-21,US1KYSC0020
    0,,2014-10-22,US1KYSC0020
    0,,2014-10-23,US1KYSC0020
    0,,2014-10-24,US1KYSC0020
    0,,2014-10-25,US1KYSC0020
    0,,2014-10-26,US1KYSC0020
    0,,2014-10-27,US1KYSC0020
    0,,2014-10-28,US1KYSC0020
  203,,2014-10-29,US1KYSC0020
    0,,2014-10-30,US1KYSC0020
   25,,2014-10-31,US1KYSC0020
   76,,2014-11-01,US1KYSC0020
    0,,2014-11-02,US1KYSC0020
    0,,2014-11-03,US1KYSC0020
    0,,2014-11-04,US1KYSC0020
   36,,2014-11-05,US1KYSC0020
   56,,2014-11-06,US1KYSC0020
   20,,2014-11-07,US1KYSC0020
    0,,2014-11-08,US1KYSC0020
    0,,2014-11-09,US1KYSC0020
    0,,2014-11-10,US1KYSC0020
    0,,2014-11-11,US1KYSC0020
    8,,2014-11-12,US1KYSC0020
    0,,2014-11-13,US1KYSC0020
  533,,2014-12-06,US1KYSC0020
    0,,2015-02-28,US1KYSC0020
   18,,2015-03-01,US1KYSC0020
   53,,2015-03-02,US1KYSC0020
    0,,2015-03-03,US1KYSC0020
  343,,2015-03-04,US1KYSC0020
    0,,2015-03-08,US1KYSC0020
    0,,2015-03-09,US1KYSC0020
   53,,2015-03-10,US1KYSC0020
  312,,2015-03-11,US1KYSC0020
    0,,2015-03-12,US1KYSC0020
    0,,2015-03-13,US1KYSC0020
  465,,2015-03-14,US1KYSC0020
   23,,2015-03-15,US1KYSC0020
    0,,2015-03-16,US1KYSC0020
    0,,2015-03-17,US1KYSC0020
    0,,2015-03-19,US1KYSC0020
   64,,2015-03-20,US1KYSC0020
    0,,2015-03-21,US1KYSC0020
    0,,2015-03-22,US1KYSC0020
    0,,2015-03-23,US1KYSC0020
    0,,2015-03-24,US1KYSC0020
    5,,2015-03-25,US1KYSC0020
   36,,2015-03-26,US1KYSC0020
   28,,2015-03-27,US1KYSC0020
    0,,2015-03-29,US1KYSC0020
    0,,2015-03-31,US1KYSC0020
    0,,2015-04-02,US1KYSC0020
  922,,2015-04-03,US1KYSC0020
  191,,2015-04-04,US1KYSC0020
    0,,2015-04-05,US1KYSC0020
    0,,2015-04-07,US1KYSC0020
  724,,2015-04-08,US1KYSC0020
   43,,2015-04-09,US1KYSC0020
  135,,2015-04-10,US1KYSC0020
    0,,2015-04-11,US1KYSC0020
    0,,2015-04-12,US1KYSC0020
    0,,2015-04-13,US1KYSC0020
   86,,2015-04-14,US1KYSC0020
   43,,2015-04-15,US1KYSC0020
    0,,2015-04-16,US1KYSC0020
    0,,2015-04-17,US1KYSC0020
    0,,2015-04-18,US1KYSC0020
    0,,2015-04-19,US1KYSC0020
  117,,2015-04-20,US1KYSC0020
   36,,2015-04-21,US1KYSC0020
   18,,2015-04-22,US1KYSC0020
   10,,2015-04-23,US1KYSC0020
    0,,2015-04-24,US1KYSC0020
    0,,2015-04-25,US1KYSC0020
  127,,2015-04-26,US1KYSC0020
    0,,2015-04-27,US1KYSC0020
    0,,2015-04-28,US1KYSC0020
    0,,2015-04-29,US1KYSC0020
    0,,2015-04-30,US1KYSC0020
   48,,2015-05-01,US1KYSC0020
    0,,2015-05-02,US1KYSC0020
    0,,2015-05-03,US1KYSC0020
    0,,2015-05-04,US1KYSC0020
    0,,2015-05-05,US1KYSC0020
    0,,2015-05-06,US1KYSC0020
    0,,2015-05-07,US1KYSC0020
    0,,2015-05-08,US1KYSC0020
    0,,2015-05-09,US1KYSC0020
    0,,2015-05-10,US1KYSC0020
    0,,2015-05-11,US1KYSC0020
  109,,2015-05-12,US1KYSC0020
    0,,2015-05-13,US1KYSC0020
    0,,2015-05-14,US1KYSC0020
    0,,2015-05-15,US1KYSC0020
    0,,2015-05-16,US1KYSC0020
  188,,2015-05-17,US1KYSC0020
    0,,2015-05-18,US1KYSC0020
    5,,2015-05-19,US1KYSC0020
    0,,2015-05-20,US1KYSC0020
    0,,2015-05-21,US1KYSC0020
    0,,2015-05-22,US1KYSC0020
    0,,2015-05-23,US1KYSC0020
    0,,2015-05-24,US1KYSC0020
    0,,2015-05-25,US1KYSC0020
    5,,2015-05-26,US1KYSC0020
  221,,2015-05-27,US1KYSC0020
   41,,2015-05-28,US1KYSC0020
   48,,2015-05-29,US1KYSC0020
   33,,2015-05-30,US1KYSC0020
    0,,2015-05-31,US1KYSC0020
    0,,2015-06-01,US1KYSC0020
  107,,2015-06-02,US1KYSC0020
    0,,2015-06-03,US1KYSC0020
    0,,2015-06-04,US1KYSC0020
    0,,2015-06-05,US1KYSC0020
    0,,2015-06-08,US1KYSC0020
   81,,2015-06-09,US1KYSC0020
    0,,2015-06-10,US1KYSC0020
    0,,2015-06-11,US1KYSC0020
    0,,2015-06-12,US1KYSC0020
    0,,2015-06-13,US1KYSC0020
    0,,2015-06-14,US1KYSC0020
    0,,2015-06-15,US1KYSC0020
    0,,2015-06-16,US1KYSC0020
  335,,2015-06-17,US1KYSC0020
    8,,2015-06-18,US1KYSC0020
  622,,2015-06-19,US1KYSC0020
  305,,2015-06-20,US1KYSC0020
  241,,2015-06-21,US1KYSC0020
    5,,2015-06-22,US1KYSC0020
    0,,2015-06-23,US1KYSC0020
    0,,2015-06-24,US1KYSC0020
    0,,2015-06-25,US1KYSC0020
  137,,2015-06-26,US1KYSC0020
  117,,2015-06-27,US1KYSC0020
    0,,2015-06-28,US1KYSC0020
    0,,2015-06-29,US1KYSC0020
  104,,2015-06-30,US1KYSC0020
  137,,2015-07-01,US1KYSC0020
   18,,2015-07-02,US1KYSC0020
  163,,2015-07-03,US1KYSC0020
  107,,2015-07-04,US1KYSC0020
    0,,2015-07-05,US1KYSC0020
    0,,2015-07-06,US1KYSC0020
    0,,2015-07-07,US1KYSC0020
  145,,2015-07-08,US1KYSC0020
   10,,2015-07-09,US1KYSC0020
    0,,2015-07-10,US1KYSC0020
  292,,2015-07-11,US1KYSC0020
  170,,2015-07-12,US1KYSC0020
   58,,2015-07-13,US1KYSC0020
  541,,2015-07-14,US1KYSC0020
    0,,2015-07-15,US1KYSC0020
    0,,2015-07-16,US1KYSC0020
    0,,2015-07-17,US1KYSC0020
  368,,2015-07-18,US1KYSC0020
   18,,2015-07-20,US1KYSC0020
    0,,2015-07-21,US1KYSC0020
    0,,2015-07-22,US1KYSC0020
    0,,2015-07-23,US1KYSC0020
    0,,2015-07-24,US1KYSC0020
    0,,2015-07-25,US1KYSC0020
    0,,2015-07-26,US1KYSC0020
    0,,2015-07-27,US1KYSC0020
    0,,2015-07-28,US1KYSC0020
  170,,2015-07-29,US1KYSC0020
   33,,2015-07-30,US1KYSC0020
    0,,2015-07-31,US1KYSC0020
    0,,2015-08-01,US1KYSC0020
    0,,2015-08-02,US1KYSC0020
    0,,2015-08-03,US1KYSC0020
   25,,2015-08-04,US1KYSC0020
   53,,2015-08-05,US1KYSC0020
  127,,2015-08-06,US1KYSC0020
  254,,2015-08-07,US1KYSC0020
    0,,2015-08-08,US1KYSC0020
    0,,2015-08-09,US1KYSC0020
    0,,2015-08-10,US1KYSC0020
   25,,2015-08-11,US1KYSC0020
    0,,2015-08-12,US1KYSC0020
    0,,2015-08-13,US1KYSC0020
    0,,2015-08-14,US1KYSC0020
    0,,2015-08-15,US1KYSC0020
    0,,2015-08-16,US1KYSC0020
    0,,2015-08-17,US1KYSC0020
    0,,2015-08-18,US1KYSC0020
    0,,2015-08-19,US1KYSC0020
  114,,2015-08-20,US1KYSC0020
    0,,2015-08-21,US1KYSC0020
    0,,2015-08-22,US1KYSC0020
    0,,2015-08-23,US1KYSC0020
    0,,2015-08-24,US1KYSC0020
    0,,2015-08-25,US1KYSC0020
    0,,2015-08-26,US1KYSC0020
    0,,2015-08-27,US1KYSC0020
    0,,2015-08-28,US1KYSC0020
    0,,2015-08-29,US1KYSC0020
    0,,2015-08-30,US1KYSC0020
    0,,2015-08-31,US1KYSC0020
    0,,2015-09-01,US1KYSC0020
    0,,2015-09-02,US1KYSC0020
    0,,2015-09-03,US1KYSC0020
    0,,2015-09-04,US1KYSC0020
   25,,2015-09-05,US1KYSC0020
    0,,2015-09-06,US1KYSC0020
   33,,2015-09-10,US1KYSC0020
    0,,2015-09-11,US1KYSC0020
    0,,2015-09-12,US1KYSC0020
    0,,2015-09-13,US1KYSC0020
    0,,2015-09-14,US1KYSC0020
    0,,2015-09-15,US1KYSC0020
    0,,2015-09-16,US1KYSC0020
    0,,2015-09-17,US1KYSC0020
    0,,2015-09-18,US1KYSC0020
    0,,2015-09-19,US1KYSC0020
    0,,2015-09-20,US1KYSC0020
    0,,2015-09-21,US1KYSC0020
    0,,2015-09-22,US1KYSC0020
    0,,2015-09-23,US1KYSC0020
    0,,2015-09-24,US1KYSC0020
    0,,2015-09-25,US1KYSC0020
  109,,2015-09-26,US1KYSC0020
    0,,2015-09-27,US1KYSC0020
    0,,2015-09-28,US1KYSC0020
   58,,2015-09-29,US1KYSC0020
  165,,2015-09-30,US1KYSC0020
   76,,2015-10-01,US1KYSC0020
   43,,2015-10-02,US1KYSC0020
  117,,2015-10-03,US1KYSC0020
    8,,2015-10-04,US1KYSC0020
    0,,2015-10-05,US1KYSC0020
    0,,2015-10-06,US1KYSC0020
    0,,2015-10-07,US1KYSC0020
    0,,2015-10-08,US1KYSC0020
    0,,2015-10-09,US1KYSC0020
    0,,2015-10-10,US1KYSC0020
    0,,2015-10-11,US1KYSC0020
    0,,2015-10-12,US1KYSC0020
  142,,2015-10-13,US1KYSC0020
    0,,2015-10-14,US1KYSC0020
    0,,2015-10-15,US1KYSC0020
    0,,2015-10-16,US1KYSC0020
    0,,2015-10-17,US1KYSC0020
    0,,2015-10-18,US1KYSC0020
    0,,2015-10-19,US1KYSC0020
    0,,2015-10-20,US1KYSC0020
    0,,2015-10-21,US1KYSC0020
    0,,2015-10-22,US1KYSC0020
    0,,2015-10-23,US1KYSC0020
   36,,2015-10-24,US1KYSC0020
  142,,2015-10-25,US1KYSC0020
    0,,2015-10-26,US1KYSC0020
   53,,2015-10-27,US1KYSC0020
  353,,2015-10-28,US1KYSC0020
  119,,2015-10-29,US1KYSC0020
    0,,2015-10-30,US1KYSC0020
    0,,2015-10-31,US1KYSC0020
   76,,2015-11-01,US1KYSC0020
    0,,2015-11-02,US1KYSC0020
    0,,2015-11-03,US1KYSC0020
    0,,2015-11-04,US1KYSC0020
    0,,2015-11-05,US1KYSC0020
  191,,2015-11-06,US1KYSC0020
   25,,2015-11-07,US1KYSC0020
    0,,2015-11-08,US1KYSC0020
    0,,2015-11-09,US1KYSC0020
