PRCP,DATE,STATION
    0,1964-01-01,BR047051610
    0,1964-01-02,BR047051610
   70,1964-01-03,BR047051610
    0,1964-01-04,BR047051610
    0,1964-01-05,BR047051610
   70,1964-01-06,BR047051610
    0,1964-01-07,BR047051610
    0,1964-01-08,BR047051610
   53,1964-01-09,BR047051610
  150,1964-01-10,BR047051610
  250,1964-01-11,BR047051610
  270,1964-01-12,BR047051610
   70,1964-01-13,BR047051610
    0,1964-01-14,BR047051610
    0,1964-01-15,BR047051610
    0,1964-01-16,BR047051610
  250,1964-01-17,BR047051610
    0,1964-01-18,BR047051610
  250,1964-01-19,BR047051610
    0,1964-01-20,BR047051610
  150,1964-01-21,BR047051610
    0,1964-01-22,BR047051610
    0,1964-01-23,BR047051610
    0,1964-01-24,BR047051610
    0,1964-01-25,BR047051610
    0,1964-01-26,BR047051610
    0,1964-01-27,BR047051610
   70,1964-01-28,BR047051610
  240,1964-01-29,BR047051610
    0,1964-01-30,BR047051610
    0,1964-01-31,BR047051610
    0,1964-02-01,BR047051610
    0,1964-02-02,BR047051610
    0,1964-02-03,BR047051610
    0,1964-02-04,BR047051610
    0,1964-02-05,BR047051610
    0,1964-02-06,BR047051610
  500,1964-02-07,BR047051610
    0,1964-02-08,BR047051610
    0,1964-02-09,BR047051610
  800,1964-02-10,BR047051610
    0,1964-02-11,BR047051610
  250,1964-02-12,BR047051610
  250,1964-02-13,BR047051610
  580,1964-02-14,BR047051610
    0,1964-02-15,BR047051610
  500,1964-02-16,BR047051610
  600,1964-02-17,BR047051610
    0,1964-02-18,BR047051610
  250,1964-02-19,BR047051610
  280,1964-02-20,BR047051610
    0,1964-02-21,BR047051610
    0,1964-02-22,BR047051610
  250,1964-02-23,BR047051610
    0,1964-02-24,BR047051610
    0,1964-02-25,BR047051610
   48,1964-02-26,BR047051610
    0,1964-02-27,BR047051610
    0,1964-02-28,BR047051610
    0,1964-02-29,BR047051610
    0,1964-03-01,BR047051610
    0,1964-03-02,BR047051610
    0,1964-03-03,BR047051610
    0,1964-03-04,BR047051610
  130,1964-03-05,BR047051610
    0,1964-03-06,BR047051610
    0,1964-03-07,BR047051610
    0,1964-03-08,BR047051610
    0,1964-03-09,BR047051610
    0,1964-03-10,BR047051610
  280,1964-03-11,BR047051610
    0,1964-03-12,BR047051610
    0,1964-03-13,BR047051610
    0,1964-03-14,BR047051610
    0,1964-03-15,BR047051610
   85,1964-03-16,BR047051610
   70,1964-03-17,BR047051610
    0,1964-03-18,BR047051610
    0,1964-03-19,BR047051610
