PRCP,SNOW,SNWD,DATE,STATION
   10,,,2010-08-10,US1KYSM0002
    0,    0,,2010-08-11,US1KYSM0002
   89,,,2010-08-12,US1KYSM0002
    0,    0,,2010-08-13,US1KYSM0002
    0,    0,,2010-08-14,US1KYSM0002
    3,,,2010-08-15,US1KYSM0002
   13,,,2010-08-16,US1KYSM0002
    0,    0,,2010-08-17,US1KYSM0002
  886,,,2010-08-18,US1KYSM0002
   25,,,2010-08-19,US1KYSM0002
    0,    0,,2010-08-20,US1KYSM0002
    0,    0,,2010-08-21,US1KYSM0002
    0,    0,,2010-08-22,US1KYSM0002
    0,    0,,2010-08-23,US1KYSM0002
    0,    0,,2010-08-24,US1KYSM0002
    0,    0,,2010-08-25,US1KYSM0002
    0,    0,,2010-08-26,US1KYSM0002
    0,    0,,2010-08-27,US1KYSM0002
    0,    0,,2010-08-28,US1KYSM0002
    0,    0,,2010-08-29,US1KYSM0002
    0,    0,,2010-08-30,US1KYSM0002
    0,    0,,2010-08-31,US1KYSM0002
    0,    0,,2010-09-01,US1KYSM0002
    0,    0,,2010-09-02,US1KYSM0002
    0,    0,,2010-09-03,US1KYSM0002
    8,,,2010-09-04,US1KYSM0002
    0,    0,,2010-09-05,US1KYSM0002
    0,    0,,2010-09-06,US1KYSM0002
    0,    0,,2010-09-07,US1KYSM0002
    0,    0,,2010-09-08,US1KYSM0002
    0,    0,,2010-09-09,US1KYSM0002
   23,,,2010-09-10,US1KYSM0002
  213,,,2010-09-11,US1KYSM0002
    0,,,2010-09-12,US1KYSM0002
    0,    0,,2010-09-13,US1KYSM0002
    0,    0,,2010-09-14,US1KYSM0002
    0,    0,,2010-09-15,US1KYSM0002
    5,,,2010-09-16,US1KYSM0002
    0,    0,,2010-09-17,US1KYSM0002
    0,    0,,2010-09-18,US1KYSM0002
    0,    0,,2010-09-19,US1KYSM0002
    0,    0,,2010-09-20,US1KYSM0002
    0,    0,,2010-09-21,US1KYSM0002
    0,    0,,2010-09-22,US1KYSM0002
    0,    0,,2010-09-23,US1KYSM0002
    0,    0,,2010-09-24,US1KYSM0002
   30,,,2010-09-25,US1KYSM0002
    0,    0,,2010-09-26,US1KYSM0002
    0,    0,,2010-09-27,US1KYSM0002
    0,    0,,2010-09-28,US1KYSM0002
    0,    0,,2010-09-29,US1KYSM0002
    0,    0,,2010-09-30,US1KYSM0002
    0,    0,,2010-10-01,US1KYSM0002
    0,    0,,2010-10-02,US1KYSM0002
    0,    0,,2010-10-03,US1KYSM0002
    0,    0,,2010-10-04,US1KYSM0002
    0,    0,,2010-10-05,US1KYSM0002
    0,    0,,2010-10-06,US1KYSM0002
    0,    0,,2010-10-07,US1KYSM0002
    0,    0,,2010-10-08,US1KYSM0002
    0,    0,,2010-10-09,US1KYSM0002
    0,    0,,2010-10-10,US1KYSM0002
    0,    0,,2010-10-11,US1KYSM0002
    0,    0,,2010-10-12,US1KYSM0002
   64,,,2010-10-13,US1KYSM0002
    0,    0,,2010-10-14,US1KYSM0002
    0,    0,,2010-10-15,US1KYSM0002
    0,    0,,2010-10-16,US1KYSM0002
    0,    0,,2010-10-17,US1KYSM0002
    0,    0,,2010-10-18,US1KYSM0002
    0,    0,,2010-10-19,US1KYSM0002
    0,    0,,2010-10-20,US1KYSM0002
    0,    0,,2010-10-21,US1KYSM0002
    0,    0,,2010-10-22,US1KYSM0002
    0,    0,,2010-10-23,US1KYSM0002
    0,    0,,2010-10-24,US1KYSM0002
  241,,,2010-10-25,US1KYSM0002
  165,,,2010-10-26,US1KYSM0002
    0,    0,,2010-10-27,US1KYSM0002
    0,    0,,2010-10-28,US1KYSM0002
    0,    0,,2010-10-29,US1KYSM0002
    0,    0,,2010-10-30,US1KYSM0002
    0,    0,,2010-10-31,US1KYSM0002
    0,    0,,2010-11-01,US1KYSM0002
    0,    0,,2010-11-02,US1KYSM0002
   51,,,2010-11-03,US1KYSM0002
   28,,,2010-11-04,US1KYSM0002
    0,    0,,2010-11-05,US1KYSM0002
    0,    0,,2010-11-06,US1KYSM0002
    0,    0,,2010-11-07,US1KYSM0002
    0,    0,,2010-11-08,US1KYSM0002
    0,    0,,2010-11-09,US1KYSM0002
    0,    0,,2010-11-10,US1KYSM0002
    0,    0,,2010-11-11,US1KYSM0002
    0,    0,,2010-11-12,US1KYSM0002
    0,    0,,2010-11-13,US1KYSM0002
